SRR3724066 SRR3724068 SRR3724070 SRR3724072 SRR3724074 SRR3724076 SRR3724078 SRR3724079 SRR3724081 SRR3724084 SRR3724086 SRR3724088 SRR3724091 SRR3724093 SRR3724095 SRR3724097 SRR3724099 SRR3724101 SRR3724102 SRR3724104 SRR3724106 SRR3724108 SRR3724110 SRR3724113 SRR3724125 SRR3724127 SRR3724129 SRR3724131 SRR3724133 SRR3724134 SRR3724136 SRR3724138 SRR3724140 SRR3724142 SRR3724145 SRR3724147 SRR3724149 SRR3724151 SRR3724153 SRR3724155 SRR3724156 SRR3724158 SRR3724160 SRR3724162 SRR3724164 SRR3724167 SRR3724169 SRR3724171
ZT3D7_G33 4 25 8 23 7 318 1 427 276 11 23 11 20 19 55 509 191 7 558 345 405 459 13 29 6 9 21 14 16 35 265 108 304 379 355 14 16 15 94 4 53 68 134 171 109 565 307 525
ZT3D7_G34 1 3 4 5 4 108 0 130 116 2 3 4 2 2 11 81 38 1 57 43 84 71 5 8 1 8 2 5 0 7 143 33 259 251 346 1 7 1 22 0 5 3 6 24 13 173 74 97
ZT3D7_G35 10 24 8 13 14 1009 8 989 1053 63 70 69 87 46 164 578 539 4 997 1198 2167 1826 13 40 24 27 39 27 5 26 437 340 840 906 1216 18 39 11 99 4 43 60 159 145 93 1214 758 1045
ZT3D7_G36 1 0 5 3 4 822 0 1587 662 8 11 2 5 6 18 275 93 0 349 879 892 974 1 3 2 3 3 2 4 16 73 31 269 444 441 0 3 0 83 2 6 14 51 31 16 1013 702 1503
ZT3D7_G37 0 1 1 9 2 64 0 65 77 5 0 1 8 0 17 171 55 1 230 64 123 65 0 2 2 0 3 1 3 19 55 21 74 69 88 4 4 3 28 1 4 10 17 28 23 74 65 123
ZT3D7_G38 1 1 2 1 2 172 0 149 143 5 4 1 1 1 4 81 23 1 146 86 182 148 0 0 1 0 1 1 2 3 68 26 157 127 204 4 5 0 16 0 2 5 9 8 21 157 137 223
ZT3D7_G39 0 2 1 2 0 13630 2 11747 15973 5 4 2 6 1 4 122 22 0 438 487 516 562 2 2 1 5 2 0 0 7 109 22 212 302 279 2 1 0 655 0 6 7 17 24 10 10742 6270 14815
ZT3D7_G40 0 0 2 5 2 1541 0 1303 2317 2 5 3 2 7 10 299 105 4 980 1309 985 1004 0 7 3 0 5 6 3 21 197 54 259 560 321 0 2 4 186 0 9 5 42 29 43 2996 1802 3494
ZT3D7_G41 0 0 5 8 3 3408 0 3151 3969 0 0 0 1 8 10 246 87 0 1358 2274 2212 2450 0 2 0 4 3 0 0 31 419 132 937 1232 1444 0 0 0 275 0 5 9 55 59 77 4153 2795 3670
ZT3D7_G42 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 5 2 3 0 0 0 0 0 0 0 0 0 5 0 1 8 6 0 0 0 0 0 0 0 0 0 0 3 3 2
ZT3D7_G43 0 0 0 0 0 721 0 651 706 0 0 0 1 7 1 318 88 0 1516 1134 1420 1430 0 0 0 0 1 0 0 2 27 8 186 233 354 0 1 0 18 0 0 0 0 4 2 459 271 408
ZT3D7_G44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 5 0 86 21 31 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
ZT3D7_G45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ZT3D7_G46 1 0 0 0 0 4 0 4 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 5 0 0 0 0 0 0 0 0 0 0 1 4 2 0
ZT3D7_G47 8 32 23 15 20 770 3 692 1046 44 48 17 56 19 129 173 242 14 248 1264 1995 1750 7 6 4 14 19 18 27 61 253 206 1453 1085 2167 15 24 12 270 8 64 60 250 291 162 2197 1399 1312
ZT3D7_G48 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
ZT3D7_G49 0 0 0 0 0 5 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ZT3D7_G50 0 0 0 0 1 7 0 1 1 0 0 0 0 0 1 14 6 0 23 4 4 8 0 0 0 0 1 0 0 2 2 3 16 4 10 0 0 0 0 0 0 0 0 0 0 3 0 0
ZT3D7_G51 0 0 0 1 0 6 0 7 1 1 0 0 1 0 0 1 1 0 1 1 1 4 1 0 0 0 0 0 0 1 0 0 3 8 8 0 0 0 1 0 3 0 0 1 0 12 14 23
ZT3D7_G52 0 2 2 10 1 524 0 546 687 12 18 10 14 6 30 518 174 0 879 454 558 539 0 16 4 0 10 1 5 12 210 117 558 639 720 8 12 11 94 1 18 28 157 92 135 1142 942 990
ZT3D7_G53 7 5 1 5 0 1231 0 2039 893 7 0 7 0 3 4 62 26 0 231 901 682 744 3 6 3 0 8 1 0 12 111 19 671 778 971 3 6 4 63 4 1 3 9 9 13 1056 674 1100
ZT3D7_G54 0 5 0 5 5 8 0 12 10 3 0 0 1 3 20 1 9 0 7 4 0 5 1 0 0 0 3 8 0 1 22 17 2 2 4 0 0 0 0 0 0 0 0 1 0 0 0 0
ZT3D7_G55 0 21 9 11 14 16 0 17 4 13 6 0 4 2 41 6 14 1 13 5 10 8 0 0 0 4 1 3 5 8 7 12 1 9 1 0 0 0 0 0 0 0 0 0 0 0 0 0
