SRR3724066 SRR3724068 SRR3724070 SRR3724072 SRR3724074 SRR3724076 SRR3724078 SRR3724079 SRR3724081 SRR3724084 SRR3724086 SRR3724088 SRR3724091 SRR3724093 SRR3724095 SRR3724097 SRR3724099 SRR3724101 SRR3724102 SRR3724104 SRR3724106 SRR3724108 SRR3724110 SRR3724113 SRR3724125 SRR3724127 SRR3724129 SRR3724131 SRR3724133 SRR3724134 SRR3724136 SRR3724138 SRR3724140 SRR3724142 SRR3724145 SRR3724147 SRR3724149 SRR3724151 SRR3724153 SRR3724155 SRR3724156 SRR3724158 SRR3724160 SRR3724162 SRR3724164 SRR3724167 SRR3724169 SRR3724171
ZT3D7_G5992 3 0 4 5 3 262 8 269 316 7 4 2 11 3 15 230 91 2 476 300 412 414 7 0 2 6 8 1 2 15 119 49 400 398 552 7 4 0 40 5 10 12 66 44 53 469 363 405
ZT3D7_G5993 3 10 9 15 7 576 1 534 757 8 11 4 3 10 41 419 194 0 872 319 610 488 0 4 2 8 16 12 2 32 341 178 856 759 934 0 13 10 100 1 33 30 135 82 122 730 593 808
ZT3D7_G5994 1 9 7 10 7 1065 4 994 1381 10 5 10 10 18 48 273 143 1 728 719 1350 957 0 2 0 13 14 10 4 31 379 134 1085 1224 1694 9 11 2 144 6 25 38 134 135 114 1407 1526 1545
ZT3D7_G5995 2 44 32 61 30 2131 14 1742 2161 37 22 25 47 37 137 1315 593 2 3229 1291 2781 1792 10 23 9 24 50 37 22 154 1123 535 2247 2419 2276 13 37 51 303 9 69 124 424 437 443 1889 1394 2364
ZT3D7_G5996 24 24 15 39 28 10977 23 11111 10785 78 112 80 117 27 144 2100 516 14 6150 12905 11946 12262 27 85 26 29 56 36 25 113 1076 444 9188 9145 12520 62 51 77 998 32 81 76 320 274 421 15513 12081 12622
ZT3D7_G5997 2 7 9 23 7 3223 3 2580 2892 12 17 18 22 23 37 1204 346 1 3037 2339 3180 2497 8 20 4 10 29 18 6 65 558 315 2612 2479 3371 6 38 21 304 2 28 50 211 187 269 3724 3062 3309
ZT3D7_G5998 3 9 7 6 7 282 0 129 273 21 39 31 24 5 36 111 92 2 129 99 233 135 3 16 7 10 17 3 9 37 195 34 207 228 361 6 10 20 67 2 12 21 63 75 86 226 286 264
ZT3D7_G5999 29 59 26 47 15 2576 16 2295 3062 98 123 72 152 62 215 2143 1205 13 4091 2679 2969 2854 38 93 26 46 79 48 30 198 1619 979 3352 3227 4009 46 51 43 422 17 98 172 685 671 628 3662 3108 2453
ZT3D7_G6000 0 1 0 1 1 1425 0 1791 966 3 5 9 11 2 4 95 71 1 156 366 407 447 3 3 2 0 1 0 2 13 63 45 757 628 1319 2 2 0 65 0 6 2 27 43 39 957 856 1669
ZT3D7_G6001 3 1 6 1 1 635 2 1126 819 19 21 22 11 7 22 326 62 0 887 3808 4947 4406 3 10 7 5 10 2 1 8 171 25 807 1014 798 10 9 21 221 6 14 7 53 27 16 4329 1247 2523
ZT3D7_G6002 0 4 9 16 4 961 0 865 1130 9 4 9 8 18 30 428 193 1 759 645 1023 913 7 4 3 1 15 10 3 36 349 186 1218 1118 1629 7 13 17 134 1 27 37 140 126 135 1281 994 1154
ZT3D7_G6003 0 0 7 8 2 366 0 269 481 2 2 0 5 10 15 371 151 0 586 292 383 344 1 0 1 8 9 11 4 41 346 214 619 702 817 8 4 4 62 0 14 24 92 98 58 501 439 457
ZT3D7_G6004 3 5 7 11 3 293 1 264 384 4 1 3 8 5 23 93 36 0 198 221 336 248 2 0 2 1 3 1 1 34 167 87 287 327 449 3 3 0 61 0 15 12 29 60 30 502 331 410
ZT3D7_G6005 0 3 8 10 4 696 3 579 747 15 8 3 17 6 16 264 100 1 364 521 872 782 4 6 3 1 9 3 1 2 226 79 915 593 1282 7 3 4 86 1 11 9 56 70 71 1095 741 677
ZT3D7_G6006 1 4 5 10 1 611 1 515 549 9 21 19 33 5 19 275 168 3 425 593 713 722 0 11 2 4 7 4 10 5 202 90 764 618 1060 5 6 12 90 4 16 13 60 45 57 1094 710 640
ZT3D7_G6007 0 4 5 7 4 133 1 142 103 10 8 5 6 1 6 240 59 0 370 82 163 178 1 3 0 6 9 9 3 25 104 59 156 126 214 5 4 0 37 3 12 16 51 47 60 210 105 242
ZT3D7_G6008 0 5 2 12 4 515 2 449 694 11 2 5 10 5 29 326 122 0 730 472 708 574 4 2 2 8 10 7 3 34 313 155 807 844 1106 11 9 8 106 0 16 14 108 68 96 1090 730 1157
ZT3D7_G6009 0 7 2 1 2 6604 1 8475 5610 10 18 25 10 7 17 100 24 3 518 6248 4575 6555 0 1 5 2 0 2 3 3 166 11 3701 3958 5022 4 12 6 832 1 1 14 7 5 9 14201 5510 6715
ZT3D7_G6010 10 15 17 22 8 1127 5 1240 1467 30 25 21 55 17 47 1127 445 4 1541 1532 1343 1552 5 14 12 10 25 20 8 27 542 216 1292 1575 1677 8 28 16 182 3 18 48 271 220 164 2108 1605 1685
ZT3D7_G6011 0 3 2 0 0 654 1 546 639 2 3 2 4 2 7 217 44 1 435 780 926 806 0 1 2 1 2 3 1 5 85 26 743 810 992 2 6 12 93 1 4 3 38 23 38 1414 897 940
ZT3D7_G6012 2 5 5 13 2 920 1 603 902 9 6 1 8 5 7 227 49 1 588 919 1278 987 0 3 0 2 7 2 5 15 135 32 825 1074 1422 6 10 4 96 0 8 8 43 51 68 1248 1022 1258
ZT3D7_G6013 4 21 12 22 20 2986 1 2473 3285 17 16 18 28 25 78 1245 391 2 2070 1766 2910 2506 3 16 16 10 25 16 6 67 849 458 2655 2991 3386 17 33 11 292 3 36 75 249 249 229 3194 2614 2722
ZT3D7_G6014 4 5 8 21 9 1384 2 1184 1543 22 7 10 20 29 45 1175 516 2 2038 1259 2230 1531 6 15 5 11 15 18 5 54 642 435 1614 1538 2083 5 11 10 217 6 46 43 311 304 258 2091 1815 1609
ZT3D7_G6015 3 2 3 5 1 1037 0 902 1178 9 3 1 8 11 15 744 219 2 1117 915 1198 798 0 0 0 2 8 6 4 16 257 82 844 922 1047 2 5 2 88 3 14 25 108 89 107 1304 1269 1491
ZT3D7_G6016 0 5 2 5 0 1795 1 2522 1628 6 8 11 13 14 33 319 107 1 640 2882 2670 2832 0 6 1 2 8 2 2 11 252 113 1727 1993 2817 11 6 7 349 2 20 24 105 99 116 4762 3207 4001
ZT3D7_G6017 0 1 0 1 0 122 0 122 79 3 3 1 0 0 6 52 15 0 74 81 108 100 3 1 0 0 0 0 0 3 51 10 63 77 89 2 0 3 16 0 0 0 8 2 1 252 111 298
ZT3D7_G6018 0 1 1 2 5 214 0 248 166 1 7 2 3 4 3 110 37 0 287 352 499 496 0 2 0 0 5 0 3 0 44 3 26 45 49 1 3 5 28 0 2 7 19 6 7 498 292 488
ZT3D7_G6019 0 0 2 1 0 68 0 33 51 1 7 1 3 0 1 40 7 0 143 210 307 301 0 3 0 0 1 0 0 2 32 0 77 111 77 0 4 3 38 0 2 8 13 9 3 502 264 581
ZT3D7_G6020 0 0 0 0 0 2 0 8 9 0 0 0 0 0 0 5 0 0 0 5 6 7 0 1 0 0 0 0 0 0 3 0 0 0 2 0 0 0 0 0 0 0 0 0 0 7 4 11
ZT3D7_G6021 0 0 0 0 0 6 0 9 17 0 0 0 0 0 1 2 1 0 3 4 5 14 0 0 0 0 0 0 0 0 3 2 2 12 22 0 0 0 3 0 0 1 0 3 4 17 17 20
ZT3D7_G6022 1 28 32 48 11 5 1 15 16 12 5 5 17 14 93 19 33 0 26 5 9 7 1 1 0 5 7 15 17 8 18 13 2 12 8 5 3 2 65 1 38 34 56 114 32 13 7 16
ZT3D7_G6023 0 0 3 3 1 1648 0 1713 1782 4 5 0 5 5 18 16 8 0 23 169 163 107 3 0 0 2 0 0 1 7 9 4 70 107 103 0 1 0 104 2 2 2 33 28 17 1845 1138 1928
ZT3D7_G6024 2 163 105 191 143 358 10 726 375 65 68 9 100 49 245 58 88 16 58 15 46 32 31 15 16 43 99 85 86 123 198 236 25 64 65 12 14 3 448 36 177 240 594 550 313 520 176 284
ZT3D7_G6025 0 4 11 9 6 88 1 76 125 17 12 2 16 35 132 93 58 0 207 88 125 94 1 0 0 1 11 5 3 15 111 67 123 181 117 3 1 6 14 1 4 3 14 14 28 100 73 118
ZT3D7_G6026 0 4 3 1 4 140 1 157 183 4 2 1 2 7 15 45 15 1 190 136 259 177 0 7 0 2 1 1 1 0 140 56 234 170 268 1 0 2 18 1 3 4 2 8 4 134 80 174
ZT3D7_G6027 5 6 10 23 9 2595 6 2871 2503 53 98 38 62 18 64 996 188 4 2467 2288 3927 3217 9 92 16 21 38 21 8 63 779 342 3927 4165 4666 25 42 52 153 1 38 55 111 108 98 1631 1021 1850
ZT3D7_G6028 2 11 4 12 3 461 2 507 619 30 23 22 28 28 57 451 186 2 685 430 764 651 6 17 4 13 13 22 6 12 384 120 657 572 637 12 17 20 82 4 24 52 76 120 105 704 443 861
ZT3D7_G6029 19 5 9 11 3 472 4 454 529 22 39 19 42 16 56 626 267 6 911 541 611 743 3 24 11 13 11 17 5 12 314 184 618 453 705 14 13 16 83 2 7 25 176 113 94 1012 556 518
ZT3D7_G6030 0 2 0 3 2 53 0 61 51 4 3 0 3 0 6 55 11 0 62 97 93 88 1 1 0 0 6 1 2 7 47 24 191 205 343 3 0 3 17 0 0 2 12 11 9 216 246 259
ZT3D7_G6031 51 364 321 399 188 19995 78 17334 21571 456 353 251 401 428 1291 9622 6467 39 23415 17383 31752 19729 133 241 114 214 461 350 228 1690 14316 5900 25858 30537 27632 306 272 410 2752 69 595 872 6008 6275 4859 15030 14184 20963
ZT3D7_G6032 2 5 9 7 4 3088 0 2645 2198 2 4 6 7 6 25 184 82 1 538 1397 1611 1353 1 1 1 0 5 4 7 31 132 46 1776 1784 2813 4 3 1 106 1 5 16 66 50 52 1513 1503 2473
ZT3D7_G6033 0 0 4 2 0 86 1 109 104 0 2 1 0 0 1 9 7 0 33 26 64 53 1 0 0 0 8 2 3 15 62 31 84 115 109 0 0 0 8 2 0 3 2 9 9 13 21 33
ZT3D7_G6034 7 31 16 10 11 487 8 665 747 50 57 54 54 28 121 296 258 7 497 506 1065 791 6 20 28 18 39 27 19 47 524 202 754 668 1018 28 25 43 159 5 60 81 174 233 136 1363 628 928
ZT3D7_G6035 6 4 11 11 3 1418 2 1342 1495 49 31 19 33 12 37 350 138 3 473 774 1202 1303 4 20 13 15 8 11 13 33 268 97 1424 1177 1920 29 23 28 137 9 13 29 57 58 39 1837 1478 1590
ZT3D7_G6036 148 48 36 165 49 789 100 1820 760 964 1291 1126 1157 186 815 2695 1345 63 2453 1950 3779 2773 74 942 316 221 304 152 112 218 444 286 749 550 972 391 683 654 429 118 278 648 281 154 361 3848 1536 2133
ZT3D7_G6037 0 1 0 9 2 275 1 357 324 2 7 4 11 6 12 84 28 2 169 217 318 304 1 6 3 0 2 2 0 9 72 29 271 263 341 3 7 6 30 0 5 10 27 10 12 304 219 296
ZT3D7_G6038 27 16 14 16 14 3986 14 3293 3837 122 149 135 198 33 156 1071 482 14 1490 2495 3526 3641 12 91 39 35 60 31 25 47 499 211 2287 2173 2652 60 85 120 315 35 66 102 167 127 107 5514 3270 3409
ZT3D7_G6039 0 0 0 0 0 1 0 0 0 3 0 0 1 4 2 22 4 0 75 476 463 478 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 18 0 0 5 3 2 2 222 139 142
ZT3D7_G6040 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 107 27 0 191 82 158 143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 6 0 0 2 15 5 7 89 80 92
ZT3D7_G6041 0 0 0 0 0 0 0 1 0 0 3 5 6 0 9 96 32 0 223 88 167 106 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 1 13 0 1 5 26 25 40 134 81 133
ZT3D7_G6042 0 3 0 2 1 157 0 145 174 7 2 2 7 5 9 171 50 0 364 434 589 506 0 0 0 0 0 0 0 9 18 2 168 109 296 0 2 9 64 0 4 18 15 26 36 814 749 875
ZT3D7_G6043 0 0 1 0 0 0 0 4 4 3 10 3 5 1 3 48 19 0 143 213 250 257 1 8 2 2 0 2 1 4 11 4 13 34 17 6 0 4 3 0 7 2 9 2 5 123 90 89
ZT3D7_G6044 0 0 0 0 0 6 0 14 9 0 0 0 0 0 0 7 0 0 6 17 29 7 0 0 0 0 0 0 0 0 5 0 8 18 20 0 0 0 1 0 0 2 0 0 6 22 11 22
ZT3D7_G6045 0 0 0 1 0 51 0 66 77 0 1 2 4 2 5 83 20 0 129 53 119 74 0 0 0 0 1 1 1 3 24 32 66 129 109 0 1 7 31 0 7 9 20 48 48 245 149 239
ZT3D7_G6046 4 12 8 31 15 3085 0 2258 3051 14 30 15 36 16 70 371 126 2 1065 1740 2319 1978 5 15 15 13 23 9 12 49 382 117 1862 2417 2656 9 34 18 293 2 53 43 138 169 202 3686 2497 3327
ZT3D7_G6047 6 8 12 21 4 1219 7 784 1082 34 17 21 25 12 51 270 204 0 451 897 1127 972 1 6 6 16 22 12 10 49 310 65 924 924 1233 16 12 32 140 4 27 33 119 115 102 1387 1102 1119
ZT3D7_G6048 95 139 130 211 104 14994 66 12207 13774 283 317 283 329 167 576 1562 1053 60 3266 16226 20280 17290 93 612 200 227 364 215 126 766 3760 1694 20156 24823 26652 216 334 360 2737 76 420 680 1466 1200 1245 35873 22193 27560
ZT3D7_G6049 0 8 9 12 7 976 0 811 1147 6 4 4 14 10 35 197 114 2 380 540 929 756 5 2 3 9 9 6 0 9 189 103 737 650 1026 2 5 4 101 1 28 20 101 84 60 997 866 813
ZT3D7_G6050 3 6 11 20 10 2807 0 3349 3253 7 15 7 24 23 71 730 274 4 1985 2096 3701 3007 5 19 9 13 13 14 3 70 846 368 3051 3338 4216 7 14 5 269 1 47 45 190 197 184 3758 2724 3588
ZT3D7_G6051 0 5 5 13 4 1118 0 1106 1021 2 6 7 2 11 21 269 96 0 569 1115 1565 1163 0 3 2 2 12 5 1 26 165 49 838 863 1169 4 9 5 213 3 14 30 80 73 103 2757 2096 2177
ZT3D7_G6052 0 6 1 15 3 550 1 382 617 10 11 6 5 7 28 212 111 1 440 448 942 632 1 3 3 3 8 8 1 27 182 62 338 519 510 5 11 0 91 0 10 19 85 80 110 789 443 596
ZT3D7_G6053 3 5 13 19 5 756 7 606 699 20 17 9 28 7 33 330 137 1 489 600 760 701 8 25 3 10 25 12 7 21 296 77 1033 983 1348 15 9 36 115 3 17 36 72 70 88 1454 784 1225
ZT3D7_G6054 3 3 8 7 2 446 10 457 616 16 15 12 35 14 28 564 219 4 1031 636 661 641 2 14 6 9 3 13 4 12 291 149 809 798 951 11 7 12 70 2 7 19 148 122 57 825 704 582
ZT3D7_G6055 0 0 1 0 1 215 0 156 181 1 1 2 0 0 4 76 23 0 169 186 227 189 0 2 0 0 3 0 3 5 49 9 183 184 219 0 3 3 16 1 2 5 15 14 16 252 220 248
ZT3D7_G6056 0 0 2 7 1 140 0 123 123 0 0 0 0 1 8 159 42 0 281 120 147 118 0 0 0 3 3 0 3 6 64 23 63 112 114 2 4 1 26 0 5 7 36 27 17 156 145 193
ZT3D7_G6057 0 8 1 4 2 193 1 174 265 7 6 4 2 4 13 121 38 3 172 123 268 218 0 4 0 0 11 1 5 11 98 40 251 209 343 0 1 2 25 0 3 10 30 28 37 312 221 259
ZT3D7_G6058 0 5 6 4 4 865 2 678 1113 12 9 5 7 14 27 416 161 2 726 616 911 729 2 10 2 2 7 3 1 16 237 115 902 1051 1289 9 2 25 87 2 15 31 103 79 98 1121 1110 1118
ZT3D7_G6059 0 0 0 2 1 481 0 558 438 2 0 0 2 0 3 77 19 1 327 622 990 816 0 1 0 1 3 0 0 2 42 5 243 304 479 4 0 1 75 0 4 3 2 5 14 1271 920 1072
ZT3D7_G6060 0 0 3 2 2 217 0 185 275 4 2 1 0 1 8 75 32 0 180 232 373 296 0 4 0 1 8 2 6 1 48 35 216 270 357 12 0 13 42 2 5 5 14 15 12 703 514 574
ZT3D7_G6061 0 4 2 9 3 723 0 638 598 1 3 1 13 6 23 80 28 3 160 468 626 510 1 1 0 3 1 5 2 13 82 55 324 638 680 1 4 7 63 0 10 24 83 57 93 521 619 838
ZT3D7_G6062 0 5 4 7 4 2633 0 1951 3085 3 8 4 12 3 31 533 99 0 2210 2270 3750 3215 0 7 1 6 6 7 4 37 387 39 1405 2024 2259 6 1 5 147 1 25 13 69 45 106 2136 1825 3134
ZT3D7_G6063 29 9 15 14 7 1841 14 1756 2037 77 75 56 99 20 69 371 291 16 723 1091 1852 1509 12 50 18 13 40 21 19 53 1122 373 2013 1664 2505 52 25 54 209 22 42 51 182 238 152 2710 1715 2348
ZT3D7_G6064 4 20 7 28 16 3873 2 2397 3881 20 15 14 17 31 86 984 304 3 2870 4470 5224 4761 0 23 1 9 49 16 6 96 643 184 1497 2227 2139 13 35 19 473 8 35 87 179 274 532 5129 2206 3671
ZT3D7_G6065 0 0 2 3 4 2828 0 1378 2730 3 4 2 3 5 18 425 108 0 1458 1729 2302 1880 6 1 4 3 6 6 2 31 360 52 762 1243 1146 3 1 3 205 0 2 11 48 47 90 3180 1369 2959
ZT3D7_G6066 10 12 12 16 9 845 8 835 933 28 33 23 69 10 63 1105 445 7 1131 925 842 947 1 21 8 11 16 14 8 32 504 260 900 794 1217 11 21 10 161 6 21 46 251 226 186 1399 1100 1089
ZT3D7_G6067 6 5 4 9 1 3991 3 3480 3682 5 19 5 10 7 18 692 105 2 2165 4818 4328 3990 2 8 4 4 12 3 3 13 340 117 2902 3002 4824 2 6 5 271 3 15 17 65 35 45 5015 4444 5099
ZT3D7_G6068 2 4 1 3 0 944 1 865 1084 4 8 1 3 1 6 141 38 0 320 852 1048 886 0 7 6 5 1 1 0 9 122 20 715 826 1206 0 6 5 73 6 5 11 33 9 32 1154 1027 1243
ZT3D7_G6069 0 5 5 15 8 440 1 268 495 10 11 5 10 9 26 219 79 0 442 394 496 505 4 12 1 3 6 6 2 22 190 105 376 453 569 4 8 14 54 6 19 21 55 55 60 621 525 691
ZT3D7_G6070 6 11 7 16 2 714 2 622 773 32 21 19 24 7 32 467 172 3 754 793 926 851 4 9 4 10 15 10 2 66 245 121 495 653 782 16 14 9 124 1 31 42 80 96 120 1346 834 1006
ZT3D7_G6071 0 8 6 12 5 1339 4 843 1527 9 11 10 27 13 48 503 192 1 1400 1392 2088 1590 1 3 0 3 16 4 5 61 435 138 1277 1431 1846 6 13 4 132 1 16 42 146 144 190 1385 1625 1540
ZT3D7_G6072 10 19 13 15 9 3683 8 2540 3887 39 50 33 47 23 65 912 278 3 1753 2296 3254 2583 5 37 20 11 30 19 11 33 608 310 3577 3791 4835 20 22 29 333 4 32 60 224 155 180 4640 3942 3696
ZT3D7_G6073 0 0 2 3 1 142 0 121 159 2 4 3 5 4 3 30 23 0 82 183 263 239 2 0 0 2 3 2 0 22 63 11 163 153 249 1 0 10 41 1 5 0 14 19 42 540 241 414
ZT3D7_G6074 2 1 2 2 3 977 1 745 1082 11 4 9 10 3 14 52 23 2 61 733 1111 1057 4 3 4 4 6 2 5 15 166 32 1269 851 1784 7 5 9 86 2 5 9 16 28 10 1382 854 1025
ZT3D7_G6075 0 0 1 2 0 60 2 50 47 1 3 6 0 1 4 93 32 0 235 69 124 90 0 0 1 1 1 0 0 7 111 54 80 112 98 1 0 1 11 0 0 0 8 5 4 112 61 100
ZT3D7_G6076 3 9 3 14 6 1200 1 1003 1166 10 18 14 14 12 50 401 174 2 931 844 1388 1162 5 14 1 6 16 10 6 51 338 127 1151 1248 1543 10 22 15 144 3 22 25 133 106 107 1681 1191 1380
ZT3D7_G6077 1 3 7 19 12 834 2 760 852 18 11 13 23 10 22 497 177 5 801 911 956 921 4 25 9 9 18 8 8 56 189 91 793 904 1155 9 11 12 126 11 19 25 157 119 114 1502 1105 1167
ZT3D7_G6078 0 1 0 0 1 19 2 44 32 0 1 4 0 5 0 11 2 0 32 23 32 32 0 0 0 0 0 0 0 2 15 4 27 27 52 0 2 0 4 0 2 5 4 5 1 28 33 34
ZT3D7_G6079 8 28 17 62 32 18872 12 15947 16929 27 67 46 54 52 99 2178 459 5 8135 16818 21936 21317 9 51 15 36 78 29 15 120 1975 632 18725 17566 23959 32 66 71 1529 10 58 108 296 372 536 22407 15132 17723
ZT3D7_G6080 19 24 23 35 27 2330 8 2265 2576 71 96 65 74 27 80 703 343 9 1173 2612 2397 2733 6 18 6 18 34 20 18 92 783 368 1845 2358 2927 24 23 19 395 3 41 61 192 212 135 5118 3107 3800
ZT3D7_G6081 21 70 44 74 51 4167 11 3090 3860 129 130 119 233 65 255 935 638 12 2098 2864 2692 3381 35 144 38 55 90 76 41 134 726 383 2986 3390 4255 112 72 138 677 36 103 179 272 426 430 7472 4551 4305
ZT3D7_G6082 13 26 19 32 17 6601 9 6135 6607 62 97 108 117 33 120 527 265 15 2113 7552 7792 7910 8 80 18 19 47 22 28 53 651 167 6177 6493 9063 34 45 66 657 21 50 47 98 87 165 11218 7819 8617
ZT3D7_G6083 0 0 0 1 1 535 0 1155 480 1 1 4 2 0 0 143 6 0 516 1885 1581 2096 0 0 1 0 1 0 0 2 148 8 526 894 783 0 3 1 128 0 1 2 11 0 6 2211 1147 1628
ZT3D7_G6084 4 38 25 54 21 966 8 1404 630 32 39 26 39 33 142 301 231 1 715 639 911 846 10 14 7 15 36 29 18 139 396 183 667 654 899 16 12 10 286 2 70 74 266 332 270 1712 1000 2153
ZT3D7_G6085 0 0 0 1 0 26 0 29 18 1 1 0 2 0 2 15 12 0 15 13 16 14 0 0 0 0 0 0 0 0 1 0 3 2 1 0 1 0 3 0 3 5 2 7 3 35 15 25
ZT3D7_G6086 1 3 3 6 1 1814 0 1794 1731 12 36 23 18 9 17 702 192 1 1064 1794 2131 1938 1 29 8 8 12 5 7 34 358 187 1683 2127 2318 9 19 13 173 5 10 28 104 56 72 3156 2055 2209
ZT3D7_G6087 0 0 2 0 1 119 0 102 151 0 2 4 3 0 12 36 21 0 41 87 150 149 0 5 0 2 1 1 0 3 84 33 218 161 365 0 3 0 27 1 3 5 11 18 15 212 180 143
ZT3D7_G6088 0 4 4 8 6 484 1 510 486 14 17 5 25 7 22 503 160 2 704 459 625 477 3 5 1 3 7 6 7 33 262 146 403 456 460 7 6 4 62 0 6 16 83 84 117 393 444 798
ZT3D7_G6089 8 6 5 7 3 1891 3 2820 1952 34 45 36 39 20 39 250 103 3 504 1464 2020 2016 4 24 4 7 24 11 13 38 285 121 2231 2013 3158 23 31 21 221 10 27 52 129 132 103 3066 2312 2837
ZT3D7_G6090 0 1 1 1 0 125 1 190 152 1 6 1 2 2 17 171 41 0 228 512 678 1586 0 0 0 0 0 0 3 5 221 7 108 104 89 0 2 0 19 0 2 2 9 12 13 244 227 321
ZT3D7_G6091 3 5 11 17 5 341 1 192 364 3 3 2 12 3 21 296 122 0 623 194 350 233 2 1 1 4 9 9 7 25 229 69 296 200 358 0 3 7 57 2 10 18 80 82 93 411 317 359
ZT3D7_G6092 5 7 10 20 4 326 2 275 405 7 16 12 19 12 45 636 247 2 961 246 318 325 5 13 2 11 23 13 2 29 377 209 406 437 513 7 4 18 85 3 19 48 124 135 111 580 413 559
ZT3D7_G6093 0 0 0 1 0 8 0 8 4 0 1 0 1 0 2 11 1 0 18 7 2 8 0 0 0 0 0 2 0 0 7 0 2 4 5 0 0 0 3 0 0 0 2 5 5 5 4 3
ZT3D7_G6094 0 0 0 0 0 10 0 4 5 0 0 0 0 0 4 5 3 0 4 3 8 7 0 0 0 0 0 1 0 0 2 0 3 17 0 0 0 0 1 0 3 0 0 2 4 7 4 6
ZT3D7_G6095 0 0 2 0 0 5 0 4 8 0 1 0 2 0 1 34 15 0 16 20 24 13 0 0 0 0 0 0 0 0 12 11 14 11 19 0 0 0 7 0 0 1 14 3 3 11 3 6
ZT3D7_G6096 0 0 0 0 1 6 0 10 1 4 15 3 18 5 17 155 69 0 278 215 314 256 0 1 0 0 0 0 0 7 0 0 4 13 7 0 0 0 2 0 0 0 2 2 0 14 10 11
ZT3D7_G6097 62 34 37 63 27 10230 36 8023 10152 425 365 436 379 152 402 1869 942 48 3120 6513 8534 7397 125 389 159 180 172 114 56 275 1428 627 8411 10589 12374 192 312 286 1312 46 179 290 354 521 886 18285 9643 10587
ZT3D7_G6098 0 11 6 13 3 43 0 56 73 5 1 1 1 1 13 19 6 1 13 9 14 27 3 1 0 1 2 5 5 0 28 11 8 20 15 2 0 0 14 2 8 8 12 9 7 42 16 30
ZT3D7_G6099 28 23 25 25 23 14313 18 12983 14311 91 106 112 129 23 88 888 391 14 3104 11677 14252 12692 11 94 40 36 62 30 21 49 1185 426 10209 9804 13516 71 85 93 1285 16 71 130 242 251 284 19889 12805 14328
ZT3D7_G6100 0 7 8 18 9 8040 3 6357 6122 16 12 19 24 17 43 984 259 0 2564 4585 5697 5249 10 14 7 16 21 15 6 31 483 119 4642 5302 7109 12 15 1 739 1 22 37 143 124 198 12003 5857 7893
ZT3D7_G6101 4 5 3 10 3 1359 3 1472 1432 8 22 14 9 8 33 422 128 3 784 1128 1670 1409 6 7 5 2 6 11 3 19 279 116 1312 1605 1855 10 12 7 142 2 19 17 102 96 126 2473 1196 1559
ZT3D7_G6102 0 2 2 2 4 398 0 278 349 1 1 2 2 2 4 23 10 1 69 142 284 222 0 3 1 1 0 0 0 6 40 24 292 155 314 0 0 6 32 0 5 6 20 30 27 450 353 358
ZT3D7_G6103 0 5 4 14 5 1791 5 1331 1482 2 7 6 11 5 8 222 39 1 431 722 935 733 1 5 3 4 4 2 0 13 86 13 280 448 388 1 8 4 61 2 12 15 9 14 30 1067 701 985
ZT3D7_G6104 0 2 2 11 5 81 1 27 42 17 22 67 9 29 51 186 65 0 96 28 64 36 7 81 6 2 14 7 0 69 75 7 12 30 9 20 40 50 28 0 26 30 14 44 105 27 11 29
ZT3D7_G6105 4 5 4 8 2 555 3 179 851 34 33 21 44 5 32 306 157 11 291 189 196 242 1 7 2 2 5 5 4 60 400 68 213 233 309 7 21 6 60 0 9 13 44 132 138 604 170 197
ZT3D7_G6106 1 2 2 4 3 343 0 232 458 10 13 7 7 7 11 291 118 5 458 307 376 347 1 0 1 2 5 5 1 22 230 46 249 428 377 1 7 2 45 1 7 4 77 74 81 326 384 370
ZT3D7_G6107 0 6 0 0 1 226 1 174 284 4 11 5 6 6 11 57 44 2 229 169 322 276 2 4 0 3 11 9 1 4 108 35 351 281 571 7 2 5 49 0 9 8 43 57 52 369 362 346
ZT3D7_G6108 0 3 3 1 1 243 0 274 343 4 4 1 1 5 4 163 50 0 323 200 344 253 3 1 0 0 3 4 0 12 87 42 291 298 480 1 1 6 30 0 6 12 62 42 38 328 443 418
ZT3D7_G6109 5 14 27 39 17 4854 2 5097 5948 16 28 4 30 37 43 1101 459 5 2517 2577 4434 3393 11 10 5 15 35 15 10 108 1035 323 4228 4472 5642 40 46 22 489 6 51 96 453 541 368 6582 6225 7864
ZT3D7_G6110 0 14 6 15 12 884 1 651 957 11 1 5 8 11 22 280 144 3 982 717 1116 938 2 5 2 9 12 7 5 32 301 93 845 1013 1147 8 10 22 120 2 37 35 86 106 70 964 943 1053
ZT3D7_G6111 0 0 0 0 0 25 0 21 43 0 2 0 0 0 0 6 7 0 27 22 38 47 0 0 0 0 0 1 0 0 12 0 16 9 22 0 2 0 6 0 0 2 6 11 7 27 17 32
ZT3D7_G6112 0 0 0 0 0 2 0 12 3 0 3 0 1 1 1 14 6 0 23 4 13 12 0 0 0 0 1 2 2 8 5 0 2 9 11 0 1 0 1 1 0 1 5 4 2 14 7 18
