"","3D1-1-7d_R1","3D1-8-12d_R1","3D1-7-14d_R1","3D1-9-14d_R1","3D1-10-14d_R1","3D1-1-28d_R1","3D1-2-7d_R1","3D1-4-28d_R1","3D1-5-28d_R1","3D7-2-7d_R1","3D7-8-7d_R1","3D7-10-7d_R1","3D7-2-12d_R1","3D7-3-12d_R1","3D7-6-12d_R1","3D7-4-14d_R1","3D7-5-14d_R1","3D1-3-7d_R1","3D7-10-14d_R1","3D7-1-28d_R1","3D7-5-28d_R1","3D7-10-28d_R1","3D1-2-12d_R1","3D1-5-12d_R1"
"ZT3D7_G3497",3,89,41,75,43,47,2,52,39,55,24,7,67,28,183,59,83,4,62,107,130,97,44,9
"ZT3D7_G3498",10,10,12,18,6,436,5,348,448,73,45,53,86,20,88,246,132,12,397,503,733,639,25,8
"ZT3D7_G3499",0,0,0,0,0,9,0,5,4,0,0,0,4,0,0,0,1,0,0,5,4,9,0,0
"ZT3D7_G3500",0,2,5,8,5,70,0,52,80,0,2,2,7,1,5,113,57,0,237,36,70,30,1,2
"ZT3D7_G3501",1,3,7,10,7,521,2,595,505,14,12,21,12,8,27,192,127,0,399,418,671,576,9,1
"ZT3D7_G3502",13,40,30,63,35,7509,7,8027,7364,63,93,74,87,67,186,4991,1593,7,9292,10691,10898,12037,29,10
"ZT3D7_G3503",7,25,32,45,19,5074,11,6322,5239,40,70,50,62,89,172,6182,1570,3,9522,8377,9507,10130,13,9
"ZT3D7_G3504",2,9,2,9,8,265,0,220,344,4,6,7,11,7,20,135,56,1,267,173,344,277,0,4
"ZT3D7_G3505",0,0,0,3,2,113,2,89,85,1,6,0,4,4,7,13,17,2,51,74,108,94,1,0
"ZT3D7_G3506",5,25,64,47,34,1050,12,629,2122,14,36,30,23,26,99,1772,593,2,3650,447,912,1058,52,12
"ZT3D7_G3507",0,3,9,14,3,2642,1,2760,2740,16,19,15,10,10,36,793,159,2,2861,2427,3336,2969,4,4
"ZT3D7_G3508",2,17,4,25,5,951,5,851,1252,22,30,20,34,20,46,639,190,4,1295,1083,1130,1277,10,2
"ZT3D7_G3509",2,18,14,19,9,2251,3,1986,2462,9,18,8,20,19,48,463,179,2,953,1326,2232,1917,6,2
"ZT3D7_G3510",2,2,4,0,2,123,0,52,121,3,3,5,5,2,5,214,99,1,329,133,157,145,0,0
"ZT3D7_G3511",0,2,1,4,2,113,0,142,150,10,3,4,10,4,14,203,64,2,216,141,254,222,0,1
"ZT3D7_G3512",0,2,3,3,0,205,0,156,259,3,3,3,1,2,15,186,70,0,367,186,300,256,2,2
"ZT3D7_G3513",1,1,0,0,2,252,0,174,312,3,2,2,4,8,17,142,36,0,252,148,294,220,5,0
"ZT3D7_G3514",1,18,13,23,9,1508,0,1097,1567,10,5,3,23,13,54,670,208,1,1270,919,1216,795,5,2
"ZT3D7_G3515",1,1,0,1,1,132,0,76,144,2,0,4,3,1,14,57,24,0,149,86,85,61,0,0
"ZT3D7_G3516",0,1,1,3,0,40,0,50,28,0,0,0,2,0,2,17,3,0,51,23,44,60,0,0
"ZT3D7_G3517",0,2,4,7,5,216,0,176,219,6,0,0,3,3,25,128,70,0,208,61,115,99,4,0
"ZT3D7_G3518",0,0,0,0,0,9,1,12,3,3,5,0,0,0,1,17,4,0,27,2,10,7,1,0
"ZT3D7_G3519",7,136,70,139,80,28,10,44,54,41,32,19,60,38,208,133,299,10,163,24,52,25,48,10
"ZT3D7_G3520",8,6,5,4,0,4267,3,5260,4399,11,34,14,11,5,9,746,121,5,2664,4178,4559,5284,4,8
"ZT3D7_G3521",0,1,6,2,3,13,2,13,17,2,1,4,1,2,11,54,43,0,74,40,36,43,0,0
"ZT3D7_G3522",37,40,23,27,26,2270,17,1961,1888,124,139,140,179,72,272,1593,988,13,2218,2401,2573,2467,27,30
"ZT3D7_G3523",4,3,3,9,1,95,3,123,103,2,7,5,3,1,5,252,59,1,303,42,62,68,2,0
"ZT3D7_G3524",0,17,8,15,7,16,1,21,39,6,3,1,4,4,35,65,44,2,92,27,43,16,9,4
"ZT3D7_G3525",0,1,0,4,1,54,0,35,74,0,2,0,1,2,2,11,5,0,15,9,24,15,0,0
"ZT3D7_G3526",0,0,0,2,0,20,0,9,36,2,1,0,5,1,0,9,7,0,12,2,8,8,0,0
