"","3D1-1-7d_R1","3D1-8-12d_R1","3D1-7-14d_R1","3D1-9-14d_R1","3D1-10-14d_R1","3D1-1-28d_R1","3D1-2-7d_R1","3D1-4-28d_R1","3D1-5-28d_R1","3D7-2-7d_R1","3D7-8-7d_R1","3D7-10-7d_R1","3D7-2-12d_R1","3D7-3-12d_R1","3D7-6-12d_R1","3D7-4-14d_R1","3D7-5-14d_R1","3D1-3-7d_R1","3D7-10-14d_R1","3D7-1-28d_R1","3D7-5-28d_R1","3D7-10-28d_R1","3D1-2-12d_R1","3D1-5-12d_R1"
"ZT3D7_G6256",5,33,19,30,16,2466,7,2223,2809,56,50,35,58,37,89,1220,527,4,1977,1682,2719,2156,17,13
"ZT3D7_G6257",0,0,0,3,0,52,0,24,38,2,0,3,0,2,1,34,19,0,80,79,74,49,0,0
"ZT3D7_G6258",0,0,0,0,0,0,0,0,0,7,1,0,3,1,13,12,14,0,33,35,40,42,0,0
"ZT3D7_G6259",16,119,96,108,58,2507,22,2603,2550,110,81,102,107,91,427,1291,753,15,1114,911,1184,1158,86,29
"ZT3D7_G6260",0,2,0,1,0,2,2,10,5,2,0,2,0,0,1,15,3,0,10,4,7,1,0,0
"ZT3D7_G6261",0,0,1,0,0,2,0,1,4,0,0,0,0,2,1,1,1,0,11,1,0,0,0,0
"ZT3D7_G6262",0,0,0,2,0,7,0,4,4,0,0,0,0,0,1,3,2,0,6,0,3,4,0,0
"ZT3D7_G6263",0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,18,2,0,23,10,4,2,0,0
"ZT3D7_G6264",0,8,6,11,6,239,0,259,282,5,5,3,11,13,13,434,165,1,717,284,376,254,1,1
"ZT3D7_G6265",3,8,8,21,4,853,1,776,965,14,11,2,9,6,33,129,100,1,304,339,664,561,7,3
"ZT3D7_G6266",2,2,4,1,1,920,0,822,990,1,6,2,8,6,17,148,42,1,344,686,1089,908,4,2
"ZT3D7_G6267",0,2,2,2,1,63,0,24,37,1,1,0,2,1,5,92,41,0,179,58,103,75,3,0
"ZT3D7_G6268",0,0,0,2,2,11,0,14,13,0,3,6,1,1,8,79,40,0,129,20,84,38,0,0
"ZT3D7_G6269",0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,8,0,0,26,7,13,17,0,0
"ZT3D7_G6270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0
"ZT3D7_G6271",0,0,0,0,0,0,0,2,0,0,0,0,2,1,3,4,0,0,6,21,37,22,0,0
"ZT3D7_G6272",0,0,0,0,0,0,0,0,0,1,1,0,2,1,4,79,9,0,88,33,83,43,0,0
"ZT3D7_G6273",0,0,0,0,0,0,0,0,0,2,3,1,0,2,6,44,11,0,79,53,83,70,0,0
"ZT3D7_G6274",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,6,16,26,13,0,0
"ZT3D7_G6275",0,0,0,0,0,0,0,0,0,5,7,0,16,6,36,21,24,0,7,0,0,0,0,0
"ZT3D7_G6276",0,0,0,0,1,0,0,1,0,9,3,7,2,3,12,207,100,0,597,1176,2127,1489,0,0
"ZT3D7_G6277",0,0,0,1,0,3,0,5,1,0,4,0,0,0,2,8,8,0,3,0,3,2,0,0
"ZT3D7_G6278",0,139,117,144,120,34,15,38,34,84,69,21,75,51,428,60,92,8,90,15,35,22,43,26
"ZT3D7_G6279",0,0,3,4,2,369,1,309,401,1,1,0,2,2,2,96,34,0,185,336,359,326,3,0
"ZT3D7_G6280",0,0,0,1,0,13,0,11,9,0,1,0,0,0,0,9,3,1,2,4,2,1,0,0
"ZT3D7_G6281",0,10,4,49,3,39,1,15,57,3,5,3,16,18,57,29,61,0,36,45,109,69,6,1
"ZT3D7_G6282",3,51,31,53,32,773,15,874,996,52,24,71,28,30,131,1021,144,5,1995,354,886,649,29,12
"ZT3D7_G6283",0,0,0,0,0,15,0,12,13,0,3,0,0,0,1,8,1,0,10,4,12,7,0,0
"ZT3D7_G6284",0,1,2,0,0,37,4,9,14,0,2,0,0,1,0,78,15,0,172,34,47,38,0,0
"ZT3D7_G6285",0,5,2,7,2,129,0,134,107,8,6,0,7,8,36,448,92,0,1065,331,619,474,4,1
"ZT3D7_G6286",0,0,4,7,1,13,0,10,6,11,4,4,5,7,7,81,19,0,96,29,77,36,2,0
"ZT3D7_G6287",0,6,3,5,4,152,0,102,152,1,4,2,1,6,8,151,59,0,281,76,125,125,0,0
"ZT3D7_G6288",8,134,59,107,57,48,10,28,43,66,46,26,97,46,375,68,177,11,95,88,145,98,47,11
"ZT3D7_G6289",0,0,1,3,1,1,2,5,4,1,0,2,2,0,3,8,5,0,14,3,6,2,0,0
"ZT3D7_G6290",4,22,11,50,8,2186,16,1274,2102,63,57,78,62,29,142,322,213,18,952,1457,2403,1533,25,4
"ZT3D7_G6291",2,2,3,11,3,204,2,286,275,6,2,3,5,3,15,191,50,2,310,152,274,245,1,1
"ZT3D7_G6292",14,23,16,17,10,2345,8,2442,2555,36,59,44,62,36,96,674,377,7,1596,1880,2176,2282,14,5
"ZT3D7_G6293",2,11,8,17,3,81,5,163,94,9,18,10,10,7,34,125,64,3,190,133,248,150,4,0
"ZT3D7_G6294",3,3,1,14,4,4224,1,6091,4775,59,71,51,40,18,39,888,204,7,2158,3516,5223,5308,9,16
"ZT3D7_G6295",5,0,0,12,6,596,0,701,553,21,25,21,27,6,19,236,80,1,209,499,542,629,9,5
"ZT3D7_G6296",0,0,2,1,0,64,1,95,95,1,0,0,3,1,5,39,16,0,102,139,138,127,0,0
"ZT3D7_G6297",93,166,142,188,63,25846,69,20096,32215,238,313,209,386,323,725,11793,6581,30,26926,18743,37948,29262,91,44
"ZT3D7_G6298",67,74,49,39,32,5784,53,7112,7900,272,354,250,532,87,412,1319,1045,31,2573,5839,6993,8877,46,38
"ZT3D7_G6299",5,1,3,1,1,250,1,240,235,10,25,12,28,1,14,38,15,1,84,365,499,531,1,0
"ZT3D7_G6300",28,4,13,4,4,254,28,329,280,214,186,202,241,27,198,1035,432,17,1446,4622,3480,4540,19,30
"ZT3D7_G6301",0,0,0,0,1,17,0,45,9,11,13,52,2,3,8,36,22,0,49,50,170,93,2,0
"ZT3D7_G6302",4,163,125,238,106,348,29,398,369,66,38,17,90,125,391,1072,1030,17,1075,307,360,321,110,23
"ZT3D7_G6303",0,0,0,4,1,1,0,3,1,9,8,6,7,1,12,162,63,1,327,546,564,547,0,0
"ZT3D7_G6304",0,35,29,67,35,303,3,559,372,36,13,5,34,33,161,108,123,6,197,193,287,261,22,2
"ZT3D7_G6305",10,157,102,171,69,1227,16,1662,1557,111,68,33,184,183,625,1091,1172,15,1342,1269,1425,1194,76,42
"ZT3D7_G6306",0,0,1,0,0,49,0,27,62,1,0,0,0,1,0,4,2,0,6,7,9,15,0,0
"ZT3D7_G6307",0,0,0,5,2,19,0,17,24,0,0,0,0,1,0,27,23,0,76,38,46,27,0,0
"ZT3D7_G6308",0,0,1,0,0,60,0,36,37,0,0,1,0,0,2,1,10,0,36,26,59,28,0,1
"ZT3D7_G6309",1,11,4,8,3,313,4,215,315,9,6,1,8,3,12,160,94,2,238,259,302,324,3,2
"ZT3D7_G6310",2,11,6,29,11,785,1,864,935,5,26,9,25,9,53,302,184,0,1013,695,1316,954,12,1
"ZT3D7_G6311",16,6,8,9,10,2286,8,2141,2346,68,72,60,92,17,75,913,332,18,1793,2038,2155,2274,19,16
"ZT3D7_G6312",1,7,2,4,5,152,2,95,103,5,8,9,4,0,18,9,15,0,13,74,121,113,3,0
"ZT3D7_G6313",0,3,1,2,1,68,0,72,40,9,2,8,3,1,20,4,7,0,4,49,91,59,3,0
"ZT3D7_G6314",16,85,62,61,39,1188,12,1307,1335,128,122,89,116,82,219,2316,1153,10,3467,907,2138,1398,27,16
"ZT3D7_G6315",0,7,9,16,4,691,2,598,629,14,5,9,10,8,44,280,109,0,690,417,737,631,5,2
"ZT3D7_G6316",0,0,0,1,0,26,0,7,14,0,0,0,0,0,0,18,7,0,25,33,25,24,0,0
"ZT3D7_G6317",0,9,2,6,4,192,0,166,276,30,13,5,19,12,48,50,102,0,54,40,44,43,0,2
"ZT3D7_G6318",0,0,4,8,0,431,1,266,449,2,7,3,2,0,12,44,23,0,103,259,364,301,6,1
"ZT3D7_G6319",9,2,1,5,1,156,0,176,209,16,28,5,16,3,4,284,105,4,540,126,148,137,2,1
"ZT3D7_G6320",1,19,5,13,2,693,3,675,768,11,13,17,19,11,35,327,141,3,640,598,970,867,8,12
"ZT3D7_G6321",0,23,7,14,6,124,0,106,136,7,4,4,16,13,97,31,42,0,65,34,37,22,6,0
"ZT3D7_G6322",1,10,10,21,21,349,0,369,440,5,3,3,19,13,55,183,90,1,457,186,355,237,13,0
"ZT3D7_G6323",2,10,8,20,8,688,3,556,737,11,10,15,16,18,46,1078,365,2,1856,445,788,648,7,1
"ZT3D7_G6324",0,0,0,0,0,8,0,4,14,0,0,0,0,0,0,6,0,0,4,19,27,19,0,0
"ZT3D7_G6325",0,2,8,10,1,550,1,363,494,7,6,0,9,13,28,544,240,0,932,399,608,567,3,4
"ZT3D7_G6326",0,0,0,2,0,4,0,2,0,0,3,0,0,1,2,1,3,0,18,5,7,11,0,0
"ZT3D7_G6327",0,1,5,4,3,58,0,50,42,6,3,2,3,6,9,190,71,2,241,54,73,80,0,0
"ZT3D7_G6328",1,6,10,22,7,260,0,288,428,6,5,4,11,13,43,527,242,0,868,233,373,238,4,3
"ZT3D7_G6329",0,5,2,4,0,48,1,31,33,1,12,8,13,4,9,61,56,0,50,29,59,34,0,1
"ZT3D7_G6330",5,13,14,12,9,650,5,742,487,102,71,68,66,23,121,600,441,4,530,870,645,942,11,6
"ZT3D7_G6331",0,6,9,15,4,1036,2,726,916,11,8,6,15,13,38,456,245,0,814,852,1024,913,3,3
"ZT3D7_G6332",2,9,0,12,8,386,5,477,474,3,9,7,9,8,18,140,77,0,323,283,458,448,3,2
"ZT3D7_G6333",0,0,0,0,1,29,0,13,29,3,3,1,1,1,0,80,13,0,66,12,29,17,0,0
"ZT3D7_G6334",0,0,0,0,1,2,0,4,3,0,1,0,0,1,1,10,3,0,14,2,7,1,0,0
"ZT3D7_G6335",0,0,0,0,0,1,0,5,2,3,3,0,0,0,0,5,2,0,11,3,1,0,0,1
"ZT3D7_G6336",12,56,47,77,23,9889,8,6917,9741,49,46,35,55,70,196,4249,1124,15,10153,7385,9649,6984,36,14
"ZT3D7_G6337",5,8,10,5,3,1900,1,1588,1974,23,21,10,24,12,30,587,144,3,1416,1566,2314,2003,14,7
"ZT3D7_G6338",0,7,10,14,11,823,4,563,820,12,10,13,22,13,48,812,338,0,1569,681,1098,792,4,0
"ZT3D7_G6339",1,7,2,13,4,789,0,479,835,3,12,4,8,18,19,266,121,0,686,387,815,605,2,0
"ZT3D7_G6340",1,10,11,16,11,29,1,25,27,10,8,5,8,11,26,62,58,0,92,53,66,55,8,0
"ZT3D7_G6341",2,7,7,23,13,704,1,518,434,14,21,18,19,16,64,191,101,4,609,980,1658,1493,7,0
"ZT3D7_G6342",0,2,2,3,0,117,0,120,161,2,0,1,11,7,11,70,31,0,194,192,378,288,0,1
"ZT3D7_G6343",0,1,3,2,1,129,0,95,149,0,4,2,4,3,3,78,31,0,231,122,241,185,0,0
"ZT3D7_G6344",0,0,0,2,1,9,0,12,13,0,0,0,1,1,2,33,20,0,46,11,15,12,0,0
"ZT3D7_G6345",2,0,0,0,0,42,0,40,22,1,1,0,1,2,3,29,9,0,59,53,54,41,0,0
"ZT3D7_G6346",2,4,15,27,11,144,1,126,112,24,34,44,14,14,76,103,67,0,40,45,83,55,7,0
"ZT3D7_G6347",0,2,18,14,6,142,0,146,150,35,32,18,20,6,34,288,90,2,453,122,232,147,2,1
"ZT3D7_G6348",5,3,1,14,1,3,0,3,3,6,10,0,4,2,3,53,6,0,38,0,11,10,2,0
"ZT3D7_G6349",0,0,0,0,0,9,0,4,7,3,4,0,0,0,0,3,4,0,9,4,11,8,0,0
"ZT3D7_G6350",0,1,2,0,1,0,0,6,2,0,0,0,0,1,1,8,5,0,28,5,5,12,0,0
"ZT3D7_G6351",1,0,1,2,1,22,0,9,14,0,0,0,0,0,1,4,1,0,7,10,26,19,0,0
"ZT3D7_G6352",8,27,32,57,16,4790,6,3726,5001,34,48,34,51,52,115,2140,877,3,4882,3301,4307,3387,32,23
"ZT3D7_G6353",4,31,22,32,18,1566,7,1237,1717,57,26,31,43,32,90,929,409,0,1865,1262,1704,1464,11,11
"ZT3D7_G6354",0,0,0,0,0,24,0,12,17,3,5,0,0,1,6,112,19,0,113,18,12,23,0,0
"ZT3D7_G6355",0,6,6,13,5,449,4,396,523,13,7,4,10,14,57,420,209,3,974,386,571,469,7,4
"ZT3D7_G6356",0,1,0,0,1,19,0,11,4,0,0,0,0,1,1,3,6,0,12,11,17,13,0,0
"ZT3D7_G6357",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,1,4,0,0,0
"ZT3D7_G6358",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,14,0,0,11,12,3,9,0,0
"ZT3D7_G6359",0,0,0,0,0,3,0,2,2,1,0,0,0,0,0,3,2,0,7,19,15,10,0,0
"ZT3D7_G6360",0,0,0,1,0,11,0,10,23,1,0,0,1,0,0,15,6,0,31,322,227,232,0,1
"ZT3D7_G6361",0,0,1,3,0,15,0,21,18,0,0,0,0,0,0,12,0,0,7,225,159,230,0,0
"ZT3D7_G6362",0,3,4,12,0,620,1,877,552,10,10,4,5,4,26,438,127,4,1099,1613,1313,1594,1,0
"ZT3D7_G6363",1,8,8,17,7,946,5,1016,1136,19,19,15,10,18,52,656,223,0,1358,785,1272,1053,9,1
"ZT3D7_G6364",0,0,1,0,0,135,0,247,107,0,3,0,2,4,4,29,14,0,80,86,99,99,1,0
"ZT3D7_G6365",10,13,8,26,15,10213,5,8873,9242,41,38,37,72,25,109,843,289,4,1946,5887,6686,7140,24,4
"ZT3D7_G6366",0,3,1,3,3,2404,0,1915,2199,14,3,10,7,7,14,117,31,0,229,531,905,882,3,3
"ZT3D7_G6367",0,1,0,0,1,499,1,376,450,0,1,0,1,2,2,96,23,0,464,502,610,506,0,0
"ZT3D7_G6368",3,3,4,8,1,591,0,436,603,5,9,3,10,3,14,184,41,0,642,748,919,999,1,1
"ZT3D7_G6369",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,0,12,1,1,2,0,0
"ZT3D7_G6370",0,1,0,2,2,17,0,15,16,1,2,0,0,0,3,33,28,0,29,12,6,5,1,0
"ZT3D7_G6371",0,2,8,17,3,367,1,221,340,6,7,4,6,9,30,123,39,2,206,183,299,248,6,4
"ZT3D7_G6372",0,0,0,1,0,89,0,54,86,0,0,0,1,0,0,21,13,0,26,48,56,50,2,0
"ZT3D7_G6373",0,0,1,1,0,10,0,12,11,1,0,0,2,0,1,35,26,0,25,6,14,11,0,0
"ZT3D7_G6374",2,5,5,5,4,300,0,291,347,6,3,8,2,13,19,529,170,2,865,296,440,373,2,0
"ZT3D7_G6375",17,18,36,47,17,9171,16,9430,8760,50,112,65,83,30,91,1399,358,17,3955,8362,8684,9279,28,32
"ZT3D7_G6376",1,0,0,2,0,164,0,80,123,0,1,0,4,1,0,11,3,0,20,96,86,106,0,0
"ZT3D7_G6377",2,21,13,30,13,1314,4,1489,1596,12,12,7,13,21,31,646,230,3,1180,1031,1520,1234,10,4
"ZT3D7_G6378",7,8,10,14,8,899,4,718,1010,20,10,11,29,15,46,250,162,3,330,432,883,744,5,0
"ZT3D7_G6379",0,0,0,0,0,2,0,2,11,1,0,0,0,0,1,10,3,0,42,72,71,68,0,0
"ZT3D7_G6380",13,40,21,27,13,4141,8,4026,4278,62,47,37,76,28,157,935,351,6,1972,1535,2482,2252,42,12
"ZT3D7_G6381",2,13,9,16,8,3885,1,4629,4149,11,15,22,14,15,38,733,178,3,3001,4255,6559,6350,6,0
"ZT3D7_G6382",0,1,0,0,1,3038,0,3202,2346,0,0,0,0,2,0,200,31,0,897,5887,6028,5834,0,0
"ZT3D7_G6383",0,7,3,7,6,977,1,898,1240,9,11,5,5,12,22,441,189,0,873,695,871,843,7,3
"ZT3D7_G6384",3,8,8,11,5,1924,4,1522,1811,14,18,12,11,15,30,308,118,1,975,2785,2769,2484,9,2
"ZT3D7_G6385",0,0,0,1,0,8,0,2,14,1,0,1,0,0,1,55,13,0,66,13,16,15,0,0
"ZT3D7_G6386",0,0,0,3,0,70,0,66,48,2,3,0,1,3,4,61,17,0,96,64,172,142,0,0
"ZT3D7_G6387",0,5,7,7,3,672,4,543,791,10,5,5,11,2,13,189,87,1,369,587,748,648,5,7
"ZT3D7_G6388",0,1,2,2,1,196,0,120,179,3,3,6,2,3,7,101,45,0,208,202,234,190,1,0
"ZT3D7_G6389",2,3,3,5,2,198,0,135,276,5,2,1,6,10,11,166,78,0,348,139,304,190,2,0
"ZT3D7_G6390",7,3,2,2,0,237,5,198,286,7,9,2,9,0,2,121,94,3,122,93,147,133,1,0
"ZT3D7_G6391",1,0,0,3,0,36,0,34,57,0,2,3,4,1,1,18,9,0,54,28,45,47,0,0
"ZT3D7_G6392",44,25,29,36,14,4550,25,3154,4435,125,148,140,221,50,183,719,467,24,1706,3784,4354,5308,35,48
"ZT3D7_G6393",0,3,4,0,2,14,1,9,23,5,4,5,10,3,11,45,45,2,29,61,57,50,5,7
"ZT3D7_G6394",0,1,0,2,3,107,0,74,82,0,0,3,0,1,1,4,2,1,18,20,19,18,0,1
"ZT3D7_G6395",1,1,3,7,3,561,0,539,674,8,5,8,9,7,23,598,162,1,1064,925,1435,1001,3,1
"ZT3D7_G6396",0,1,2,0,5,269,0,105,318,5,13,3,8,3,8,168,25,0,449,608,926,600,1,2
"ZT3D7_G6397",4,13,11,21,8,1018,4,801,867,16,11,19,18,14,59,655,188,1,1358,581,1011,814,4,0
"ZT3D7_G6398",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,7,3,3,2,0,0
"ZT3D7_G6399",0,0,0,0,0,0,0,3,3,0,0,0,0,1,2,0,0,0,0,3,3,2,0,0
"ZT3D7_G6400",0,0,2,1,0,11,0,12,12,2,2,0,1,2,5,12,12,0,31,11,39,26,1,0
"ZT3D7_G6401",0,0,0,0,1,1,0,14,8,2,2,0,0,1,0,16,3,0,21,90,90,73,0,0
"ZT3D7_G6402",1,22,18,26,13,1405,4,1345,1557,32,18,11,35,30,61,642,339,6,1467,1072,1687,1382,6,8
"ZT3D7_G6403",0,0,1,3,2,1422,0,839,516,0,0,0,0,0,3,199,36,1,618,1018,1301,1134,2,0
"ZT3D7_G6404",0,0,1,1,2,7,1,4,1,1,2,0,0,1,0,28,5,0,34,12,22,19,0,0
"ZT3D7_G6405",0,1,10,15,0,185,0,207,161,9,8,9,10,6,28,219,104,1,328,94,192,152,6,4
"ZT3D7_G6406",1,4,2,5,2,70,1,40,101,7,1,1,3,2,6,131,46,1,160,39,119,68,1,2
"ZT3D7_G6407",0,5,3,7,5,387,1,306,525,1,2,6,2,3,5,153,53,0,193,89,189,123,6,0
"ZT3D7_G6408",1,3,2,7,4,286,1,126,246,5,1,0,10,3,25,195,136,0,246,23,70,59,3,1
"ZT3D7_G6409",0,0,0,0,0,42,0,56,43,0,0,1,0,0,0,11,1,0,7,31,59,33,2,0
"ZT3D7_G6410",1,5,3,2,5,629,1,492,716,10,10,5,2,7,15,399,110,2,726,1008,985,1054,0,3
"ZT3D7_G6411",0,1,4,3,2,383,3,378,494,2,2,3,1,2,11,295,102,0,441,631,744,1026,4,0
"ZT3D7_G6412",3,1,2,5,0,4141,1,6236,3554,5,8,2,2,5,4,2619,196,0,7060,9125,10807,12002,0,0
"ZT3D7_G6413",62,30,34,14,21,385,47,286,283,207,303,187,327,36,152,382,241,44,240,510,296,391,25,17
"ZT3D7_G6414",3,8,7,7,10,9,7,13,5,5,3,0,7,8,52,8,31,0,34,14,31,11,3,0
"ZT3D7_G6415",1,12,4,13,8,156,3,201,189,10,14,5,23,11,45,246,104,1,544,137,286,201,6,1
"ZT3D7_G6416",0,0,1,6,1,125,0,82,114,1,4,0,1,1,9,122,35,1,136,96,155,136,0,0
"ZT3D7_G6417",1,8,8,6,3,201,3,230,221,12,3,12,13,7,29,154,119,2,234,175,185,169,4,2
"ZT3D7_G6418",8,9,4,8,3,636,4,867,701,21,25,24,24,7,39,505,115,4,1321,1004,919,967,10,10
"ZT3D7_G6419",0,0,1,2,1,43,0,38,41,1,2,1,3,0,5,6,1,0,23,70,60,46,0,0
"ZT3D7_G6420",6,338,144,245,159,39,20,86,61,251,134,81,266,124,971,223,193,23,341,89,205,132,147,38
"ZT3D7_G6421",0,3,3,4,0,138,0,117,162,7,7,1,6,2,18,90,49,0,176,81,187,119,3,0
"ZT3D7_G6422",17,3,0,3,3,4238,6,4294,4148,12,24,47,18,8,44,238,89,1,1188,3878,3400,3503,15,13
"ZT3D7_G6423",0,0,1,3,0,66,2,82,85,0,5,0,4,2,10,97,29,0,189,179,164,146,0,1
"ZT3D7_G6424",0,0,0,0,0,17,0,9,19,0,1,0,1,0,2,1,0,0,0,12,18,19,0,0
"ZT3D7_G6425",1,0,1,1,1,119,1,72,149,2,9,1,7,1,9,79,12,0,126,165,254,172,0,2
"ZT3D7_G6426",0,18,15,28,11,758,0,656,844,30,15,7,37,21,58,567,242,2,1144,567,1138,966,7,5
"ZT3D7_G6427",0,3,3,5,1,3474,0,2455,3079,6,10,23,13,9,10,424,97,1,1093,2171,2955,2546,3,0
"ZT3D7_G6428",0,1,1,2,1,276,0,189,253,1,3,0,1,4,14,103,37,0,179,145,276,189,1,0
"ZT3D7_G6429",0,1,2,6,2,301,0,216,244,3,2,2,2,1,6,193,54,0,346,179,229,187,0,0
"ZT3D7_G6430",0,2,2,0,0,36,0,21,15,0,0,0,0,0,1,0,1,0,0,11,21,16,0,0
"ZT3D7_G6431",0,0,0,1,1,12,0,23,20,0,0,0,0,0,3,2,1,0,11,7,16,6,0,0
"ZT3D7_G6432",69,208,147,235,92,27498,52,24632,39377,245,253,236,338,393,997,13422,6355,35,28489,16555,31325,26477,106,56
"ZT3D7_G6433",1,0,1,1,2,114,0,127,91,3,5,1,2,8,7,91,52,0,163,47,90,77,0,2
"ZT3D7_G6434",0,4,2,5,1,116,0,186,209,16,4,6,9,4,20,452,142,0,652,150,235,142,1,1
"ZT3D7_G6435",32,52,42,31,17,4618,20,5335,5249,91,132,42,120,53,136,1036,547,30,2695,4193,5409,5054,25,33
"ZT3D7_G6436",0,0,1,0,0,19,0,15,1,4,7,7,5,0,1,19,13,3,24,18,16,15,0,0
"ZT3D7_G6437",0,0,0,0,1,9,0,9,9,0,4,4,6,0,3,41,1,0,50,14,31,28,0,0
"ZT3D7_G6438",0,0,0,0,0,11,0,21,27,1,2,0,1,0,1,4,1,0,19,17,14,16,0,0
"ZT3D7_G6439",5,7,4,8,3,387,10,360,338,37,50,19,50,7,35,166,85,17,235,248,266,313,6,6
"ZT3D7_G6440",0,2,4,13,2,278,3,234,294,4,5,8,4,4,14,174,65,1,346,218,295,243,3,0
"ZT3D7_G6441",3,4,3,4,5,498,0,370,718,9,6,0,5,3,20,165,67,1,429,398,545,454,0,1
"ZT3D7_G6442",0,4,2,6,4,155,1,143,190,3,1,1,8,5,11,134,65,0,292,96,208,155,2,1
"ZT3D7_G6443",0,5,0,6,1,243,0,188,263,0,1,1,0,1,11,21,19,2,65,83,189,141,1,0
"ZT3D7_G6444",3,2,1,7,0,150,0,128,140,1,3,3,1,1,8,140,41,0,224,130,192,182,1,0
"ZT3D7_G6445",0,1,0,3,0,59,0,33,41,1,5,0,6,1,3,84,56,0,176,82,198,80,0,0
"ZT3D7_G6446",1,0,2,14,2,94,2,81,105,134,27,68,40,23,54,233,72,2,89,23,32,61,1,0
"ZT3D7_G6447",0,7,1,1,0,48,0,30,34,2,2,2,2,2,10,79,36,0,111,31,48,53,0,0
"ZT3D7_G6448",1,27,7,28,2,34,2,19,29,4,3,1,27,1,4,35,14,3,54,11,11,16,5,2
"ZT3D7_G6449",1,19,6,33,8,43,1,17,51,7,2,3,12,2,10,94,22,8,189,42,84,53,7,2
"ZT3D7_G6450",0,0,0,2,0,11,0,10,9,0,3,2,0,2,0,9,6,0,50,32,26,58,0,0
"ZT3D7_G6451",0,0,0,0,0,12,0,18,13,0,3,0,2,3,4,36,21,0,73,22,41,26,0,0
"ZT3D7_G6452",0,2,13,16,14,642,0,327,647,3,12,5,7,11,44,620,251,2,1829,527,817,670,5,2
"ZT3D7_G6453",0,6,0,1,1,90,0,80,138,2,0,0,0,2,6,19,15,0,37,33,87,44,0,0
"ZT3D7_G6454",0,15,10,11,3,39,1,27,37,3,2,2,4,10,41,56,35,2,89,48,63,71,1,0
"ZT3D7_G6455",0,0,0,0,0,10,0,11,10,0,2,0,0,0,2,11,6,0,5,11,20,15,0,0
"ZT3D7_G6456",0,0,1,2,1,72,3,58,100,14,8,4,2,1,11,135,26,0,244,249,576,349,0,0
"ZT3D7_G6457",40,126,111,158,70,15742,31,12474,20760,175,230,137,274,301,550,11811,5634,22,27859,17004,22520,17344,56,44
"ZT3D7_G6458",9,2,2,12,6,4093,2,4580,4139,24,40,38,44,12,26,766,194,6,2427,3876,4801,4672,3,0
"ZT3D7_G6459",0,2,8,13,9,1487,0,1488,1858,13,3,3,5,10,37,654,208,1,1266,907,1627,1247,5,0
"ZT3D7_G6460",2,14,18,9,6,538,2,503,394,5,7,4,15,25,83,354,316,0,373,52,163,91,12,1
"ZT3D7_G6461",7,7,14,28,11,776,2,692,856,24,19,15,23,30,48,1110,501,6,1404,411,827,623,9,5
"ZT3D7_G6462",2,10,2,11,7,183,0,151,168,11,11,4,10,9,12,121,104,1,267,222,424,221,8,6
"ZT3D7_G6463",0,1,2,6,3,152,1,172,205,3,2,4,3,8,21,175,100,4,275,124,176,150,0,0
"ZT3D7_G6464",0,0,0,0,0,18,0,7,12,2,0,0,0,0,1,10,2,0,12,15,18,35,0,0
"ZT3D7_G6465",1,6,7,17,5,2851,5,1669,3192,16,26,9,19,8,51,386,166,2,1247,2132,2982,2326,0,5
"ZT3D7_G6466",3,5,7,8,3,454,1,399,565,6,6,11,8,7,21,66,38,1,143,321,553,409,3,0
"ZT3D7_G6467",5,1,3,0,2,30,0,40,33,5,5,1,10,0,1,3,3,2,10,18,28,23,0,1
"ZT3D7_G6468",0,2,0,2,0,40,0,79,9,0,3,0,1,4,6,322,368,0,452,33,108,95,0,0
"ZT3D7_G6469",0,0,2,1,1,21,0,13,37,0,0,0,0,0,6,32,4,0,41,17,27,27,0,0
"ZT3D7_G6470",0,54,27,56,31,9,2,33,27,48,19,9,39,38,208,42,105,3,47,25,40,27,24,9
"ZT3D7_G6471",0,70,60,100,64,2,3,5,10,40,24,12,72,59,278,133,388,4,95,25,16,12,45,9
"ZT3D7_G6472",0,1,1,1,1,77,0,28,44,1,0,0,0,9,10,387,439,0,320,27,26,37,0,0
"ZT3D7_G6473",0,0,2,4,0,5018,2,4068,4257,1,6,1,7,3,8,728,79,1,2644,8262,9254,11072,1,1
"ZT3D7_G6474",0,1,0,0,0,4,0,2,1,0,0,0,0,0,0,13,1,0,12,35,52,38,0,0
"ZT3D7_G6475",0,3,0,3,0,7,0,5,11,1,0,0,2,5,7,59,26,0,141,115,231,131,0,0
"ZT3D7_G6476",0,6,3,2,1,332,0,258,342,1,2,0,6,4,12,133,54,0,209,116,212,178,1,0
"ZT3D7_G6477",0,3,1,4,6,716,1,453,767,5,5,9,6,4,26,100,77,0,232,397,619,635,5,1
"ZT3D7_G6478",0,1,1,1,1,78,0,107,120,3,3,2,2,1,9,84,36,0,203,102,184,165,0,0
