"","1A5-1-7d_R1","1A5-7-7d_R1","1A5-10-7d_R1","1A5-3-12d_R1","1A5-5-12d_R1","1A5-7-12d_R1","1A5-8-14d_R1","1A5-9-14d_R1","1A5-10-14d_R1","1A5-3-28d_R1","1A5-6-28d_R1","1A5-7-28d_R1","1E4-4-7d_R1","1E4-5-7d_R1","1E4-6-7d_R1","1E4-3-12d_R1","1E4-6-12d_R1","1E4-7-12d_R1","1E4-5-14d_R1","1E4-8-14d_R1","1E4-10-14d_R1","1E4-3-28d_R1","1E4-4-28d_R1","1E4-6-28d_R1"
"ZT3D7_G1406",4,20,2,11,25,13,62,632,231,2871,3837,3311,5,8,21,515,39,63,208,186,198,7246,4225,5016
"ZT3D7_G1407",2,21,5,23,51,32,134,865,490,945,1285,1263,7,23,20,272,90,119,504,438,348,1937,1514,2077
"ZT3D7_G1408",1,10,6,11,7,13,33,321,147,1494,1621,2325,7,13,8,184,20,34,86,99,68,2295,1869,1811
"ZT3D7_G1409",2,4,1,3,7,12,18,244,102,1283,1135,1801,6,2,3,124,17,31,72,75,64,1489,1296,1587
"ZT3D7_G1410",3,19,6,5,22,5,47,384,90,550,558,665,6,20,23,121,19,54,91,89,138,1109,795,1325
"ZT3D7_G1411",0,2,0,2,1,0,0,59,54,587,609,794,1,0,1,68,5,3,22,11,7,838,691,653
"ZT3D7_G1412",6,22,8,13,26,18,57,580,270,1734,2100,2160,21,39,22,235,60,69,228,171,161,2573,1966,2916
"ZT3D7_G1413",14,35,17,13,44,15,114,630,182,1523,1769,2102,31,31,49,236,43,65,238,221,377,2122,1956,2234
"ZT3D7_G1414",0,2,0,0,4,11,22,100,33,307,231,329,3,0,0,60,7,13,71,46,78,472,412,458
"ZT3D7_G1415",0,0,0,0,3,3,8,30,26,33,55,56,0,0,0,33,8,10,79,26,42,218,94,166
"ZT3D7_G1416",2,0,0,0,4,0,2,37,17,110,142,105,0,0,0,10,7,1,22,16,20,53,49,83
"ZT3D7_G1417",0,2,0,3,10,2,18,667,383,2971,2824,3871,2,1,0,213,11,8,279,114,116,3126,3075,2893
"ZT3D7_G1418",0,1,0,11,84,18,503,1820,1110,757,596,865,0,2,0,490,34,111,984,1362,1384,1135,859,926
"ZT3D7_G1419",0,0,0,0,0,0,3,25,10,11,8,8,2,3,1,32,4,13,50,52,37,472,379,541
"ZT3D7_G1420",3,25,6,2,17,5,23,218,80,1452,1695,2283,22,29,21,186,18,27,73,72,83,2349,1731,2386
"ZT3D7_G1421",5,5,4,12,23,6,49,462,267,1007,918,1270,3,11,11,128,32,52,167,142,136,1254,933,814
"ZT3D7_G1422",16,51,21,26,34,35,65,703,238,2407,2007,3107,29,40,50,283,45,61,145,172,163,3355,2109,2335
"ZT3D7_G1423",3,12,5,0,7,9,32,246,43,665,896,1039,9,32,27,201,16,28,66,41,69,2611,1594,1963
"ZT3D7_G1424",2,0,0,0,1,0,0,17,16,91,86,137,0,0,2,12,0,3,0,2,4,117,69,68
"ZT3D7_G1425",1,33,16,10,21,17,64,568,301,3440,3656,4529,13,45,59,511,32,53,190,159,193,7703,4958,5008
"ZT3D7_G1426",4,15,11,10,16,17,63,811,392,2229,2407,2685,11,18,12,204,50,55,327,231,213,2493,2289,2414
"ZT3D7_G1427",3,13,2,12,24,16,79,555,164,835,913,929,8,19,16,95,35,44,168,176,157,911,679,1063
"ZT3D7_G1428",0,5,2,4,1,4,20,222,88,471,604,638,3,13,15,73,16,26,100,94,85,481,415,791
"ZT3D7_G1429",8,31,14,18,14,24,24,309,130,942,644,1018,29,12,9,94,17,42,183,180,115,1000,658,687
"ZT3D7_G1430",0,0,1,0,0,0,0,12,0,44,61,69,1,1,2,25,3,10,14,5,19,462,315,357
"ZT3D7_G1431",11,71,35,24,36,20,53,1045,306,3801,3910,5332,39,80,110,373,40,64,180,109,107,5721,4085,4890
"ZT3D7_G1432",0,2,1,3,10,5,26,123,82,342,406,489,4,11,14,58,17,39,62,63,60,489,289,502
"ZT3D7_G1433",8,32,20,17,43,10,64,1004,239,4538,5539,5876,12,22,17,607,46,21,150,156,131,9080,6126,7949
"ZT3D7_G1434",1,0,2,2,17,4,11,148,50,478,526,594,4,4,5,55,6,16,81,66,111,600,557,571
"ZT3D7_G1435",0,5,2,6,14,2,13,138,87,343,306,488,9,7,7,53,6,19,43,56,30,470,321,384
"ZT3D7_G1436",1,15,6,7,23,18,51,497,175,1346,1550,1860,9,10,27,167,25,54,189,149,148,2160,1750,1989
"ZT3D7_G1437",1,7,1,0,2,1,1,54,12,352,215,583,7,2,4,48,0,6,16,7,7,821,359,393
"ZT3D7_G1438",4,49,19,29,24,15,54,379,140,2009,1905,2509,21,44,29,232,23,31,84,97,131,3266,1876,2549
"ZT3D7_G1439",2,11,10,3,13,12,30,345,161,428,431,546,12,8,18,79,25,47,168,140,111,527,373,336
"ZT3D7_G1440",0,1,0,1,2,1,3,42,42,26,13,14,0,0,0,1,0,0,20,6,3,33,12,27
"ZT3D7_G1441",3,12,7,7,26,7,52,506,155,1113,1233,1476,5,8,25,210,27,31,145,163,239,2548,1860,1874
"ZT3D7_G1442",1,1,0,2,4,2,34,147,76,311,451,556,0,4,15,31,5,2,77,45,29,519,489,744
"ZT3D7_G1443",11,42,6,6,13,6,12,344,88,332,514,559,39,39,37,252,21,45,298,79,131,3586,2075,2023
"ZT3D7_G1444",1,3,7,1,16,4,28,884,163,563,598,765,6,8,14,178,19,31,210,125,109,2733,1302,1489
"ZT3D7_G1445",0,5,1,5,12,5,24,273,154,1517,1332,2005,7,13,11,171,21,39,182,159,187,1652,1622,2093
"ZT3D7_G1446",8,6,5,3,20,6,54,463,242,1659,1433,1852,6,11,8,180,18,18,184,147,149,1717,1538,1659
"ZT3D7_G1447",1,0,0,0,5,1,2,64,13,237,186,451,0,2,14,29,2,9,18,19,12,392,334,341
"ZT3D7_G1448",1,6,0,1,6,4,21,121,65,278,427,411,0,4,4,36,11,12,51,56,46,450,420,691
"ZT3D7_G1449",0,25,6,10,9,17,19,563,296,7192,5740,8976,12,25,23,733,22,20,147,69,87,12579,8095,7309
"ZT3D7_G1450",1,29,10,7,29,10,26,575,241,5741,5575,7611,33,66,82,1095,44,77,110,117,169,18331,12044,13025
"ZT3D7_G1451",1,11,2,1,13,12,46,245,130,509,782,761,8,2,13,46,10,9,65,72,75,435,372,333
"ZT3D7_G1453",4,21,2,8,17,8,63,259,123,347,449,476,7,18,15,92,16,45,93,86,102,607,492,455
"ZT3D7_G1454",0,4,2,2,5,2,14,173,70,622,564,678,13,7,10,73,7,19,71,68,55,970,765,683
"ZT3D7_G1455",2,18,2,6,24,8,32,261,135,842,856,1055,20,13,14,107,17,38,88,68,56,995,837,901
"ZT3D7_G1456",1,3,1,0,2,1,5,44,20,61,94,105,2,6,16,31,5,10,36,28,38,309,153,237
"ZT3D7_G1457",0,37,13,16,20,15,10,251,44,1740,2929,2552,7,83,32,507,58,99,67,64,107,8815,4081,5867
"ZT3D7_G1458",0,0,0,0,1,0,0,6,4,16,5,10,3,1,2,11,4,11,18,18,22,128,87,153
"ZT3D7_G1459",0,3,2,0,0,1,7,21,1,41,41,46,0,0,1,0,0,1,4,0,0,6,2,12
"ZT3D7_G1460",7,29,8,10,17,13,27,46,29,35,58,33,11,5,40,13,3,15,38,24,64,22,24,47
"ZT3D7_G1461",0,4,0,0,0,3,2,23,10,80,71,83,3,0,0,13,4,4,6,9,11,185,50,91
"ZT3D7_G1462",52,206,57,89,94,79,225,1905,887,9853,9798,13201,112,126,107,1031,146,161,646,586,565,14804,9660,9589
"ZT3D7_G1463",0,0,0,0,0,0,1,0,0,19,35,19,1,0,0,4,0,0,0,0,0,42,31,51
"ZT3D7_G1464",0,2,0,1,12,2,30,130,62,885,871,1153,3,2,25,136,7,13,27,22,43,2232,1661,1119
"ZT3D7_G1465",0,1,0,1,0,0,0,7,5,3,7,6,0,0,0,2,0,4,4,10,2,6,8,8
"ZT3D7_G1466",0,0,0,1,3,0,5,14,9,42,30,67,1,0,2,6,3,2,6,8,7,114,63,70
"ZT3D7_G1467",4,2,0,6,25,14,46,329,172,138,241,188,13,13,3,133,62,64,240,285,243,646,205,270
"ZT3D7_G1468",4,4,3,3,10,5,12,73,25,168,195,248,4,4,3,68,10,17,70,77,67,265,243,272
"ZT3D7_G1469",9,8,0,12,18,11,57,380,120,944,969,1261,9,14,32,132,34,38,135,142,164,1201,969,1317
"ZT3D7_G1470",3,4,3,5,13,11,26,146,62,140,166,193,14,7,11,65,27,18,63,77,53,325,229,284
"ZT3D7_G1471",3,12,6,9,25,20,58,614,178,3009,3576,4471,18,23,22,385,50,78,271,270,211,4925,4102,6177
"ZT3D7_G1472",6,12,7,9,5,5,33,256,102,444,835,510,8,14,8,64,12,29,123,77,95,578,484,886
"ZT3D7_G1473",7,40,9,6,31,7,47,325,103,980,1212,1688,20,22,30,181,35,46,95,113,93,2163,1259,2221
"ZT3D7_G1474",0,0,1,0,0,0,0,0,6,24,27,32,0,0,0,2,0,0,0,1,3,36,18,33
"ZT3D7_G1475",0,1,0,0,0,0,1,39,4,197,253,305,0,2,4,7,2,4,16,7,17,124,188,242
"ZT3D7_G1476",34,110,44,105,199,174,467,4959,2960,17365,17999,22933,87,111,149,1639,217,399,2149,1769,1544,18800,17227,12994
"ZT3D7_G1477",2,7,11,6,9,7,24,374,246,1315,1323,1703,11,19,15,160,34,44,142,171,132,1974,1825,1835
"ZT3D7_G1478",8,80,32,36,37,25,47,664,412,5780,5303,7929,72,87,104,673,46,85,238,178,128,10559,5399,7377
"ZT3D7_G1479",6,36,13,15,34,26,92,761,265,2028,2322,2866,20,26,29,288,63,77,219,222,202,2531,1908,2511
"ZT3D7_G1480",0,0,0,0,1,0,1,32,0,136,63,165,0,1,0,17,0,3,1,1,0,219,118,145
"ZT3D7_G1481",7,8,1,3,13,15,37,336,124,1038,1067,1524,6,6,18,146,8,22,93,109,148,1540,1084,1524
"ZT3D7_G1482",2,5,0,0,2,4,12,55,20,23,49,52,1,8,2,19,2,5,18,15,36,159,95,140
"ZT3D7_G1483",4,8,2,2,4,3,11,77,45,401,396,655,6,5,6,66,8,4,21,24,69,907,563,722
"ZT3D7_G1484",3,0,0,0,4,0,2,25,5,8,21,11,0,0,2,2,4,3,1,1,2,11,4,12
"ZT3D7_G1485",1,0,1,1,10,7,42,252,144,628,653,900,3,5,2,71,17,15,90,100,113,698,513,670
"ZT3D7_G1486",14,38,11,19,51,34,127,1617,781,5231,6385,6625,29,30,36,574,74,114,745,611,605,7073,6649,6358
"ZT3D7_G1487",0,1,0,4,11,6,31,212,103,393,418,570,4,8,4,70,17,26,95,76,72,538,451,522
"ZT3D7_G1488",1,4,7,2,14,6,31,222,120,760,857,1012,8,7,9,100,28,13,119,115,116,1229,896,1129
"ZT3D7_G1489",3,25,10,9,18,4,7,255,133,8283,8375,11343,10,42,40,1479,20,47,26,24,34,25682,15598,13018
"ZT3D7_G1490",15,0,2,23,24,33,29,50,30,10,4,6,19,17,3,117,57,60,104,148,171,51,24,25
"ZT3D7_G1491",0,0,0,6,8,8,13,26,26,31,59,54,4,2,6,35,20,11,39,45,20,92,69,82
"ZT3D7_G1492",13,32,10,10,22,9,40,493,211,779,834,1160,20,27,27,176,56,78,198,129,194,1428,1137,1843
"ZT3D7_G1493",4,13,4,2,12,15,35,328,193,1056,1173,1465,2,7,11,112,14,29,164,87,130,1411,1137,1030
"ZT3D7_G1494",0,2,0,1,0,1,1,18,0,56,74,64,0,0,0,5,1,0,1,6,8,106,56,105
"ZT3D7_G1495",0,0,0,0,0,0,0,6,8,74,120,83,0,1,0,11,0,3,1,5,4,124,75,121
"ZT3D7_G1496",1,6,6,5,5,11,18,301,176,1141,1026,1604,11,11,6,189,5,9,119,122,92,2490,1638,1433
"ZT3D7_G1497",0,12,6,9,16,13,27,241,82,1028,1221,1472,5,10,5,139,21,25,115,119,109,1827,1556,1790
"ZT3D7_G1498",1,20,3,4,4,9,20,258,124,1909,1931,2515,7,9,29,197,15,22,85,70,86,2766,2082,1836
"ZT3D7_G1499",3,14,3,5,20,14,56,667,314,1282,1267,1816,14,13,14,161,17,46,263,212,131,1557,1372,1147
"ZT3D7_G1500",5,25,7,8,7,12,16,46,13,729,731,827,42,30,87,226,14,35,35,25,48,3273,1291,1795
"ZT3D7_G1501",0,1,0,0,0,1,0,14,0,148,207,221,0,1,0,25,0,0,0,0,0,295,155,229
"ZT3D7_G1502",15,46,10,15,13,18,64,495,241,1389,1805,2194,37,28,42,353,23,26,226,117,142,4502,2335,2067
"ZT3D7_G1503",0,0,0,2,7,5,12,17,8,5,6,14,1,1,1,84,19,31,163,192,210,30,42,32
"ZT3D7_G1504",3,9,0,10,12,9,33,369,213,335,418,588,14,12,17,73,29,31,186,165,140,601,499,376
"ZT3D7_G1505",1,5,1,3,2,4,18,146,80,148,138,184,0,1,7,45,4,14,58,91,71,217,125,137
"ZT3D7_G1506",0,7,3,0,7,3,7,29,7,97,115,134,2,1,11,12,0,3,7,3,9,116,96,114
"ZT3D7_G1507",4,2,1,5,14,8,14,274,119,1198,1249,1607,2,8,17,113,17,28,95,118,77,1252,1115,1433
"ZT3D7_G1508",0,11,1,8,5,3,16,336,140,3075,2908,4722,13,9,16,264,11,16,73,38,54,4167,3509,3757
"ZT3D7_G1509",8,40,8,7,17,11,32,154,33,721,778,1104,22,7,28,95,45,31,63,46,35,866,755,853
"ZT3D7_G1510",3,13,3,2,2,0,10,98,34,255,266,317,9,10,5,42,13,8,25,21,100,418,338,454
"ZT3D7_G1511",4,17,5,2,17,18,36,297,155,957,973,1315,2,13,13,107,16,28,233,130,125,1156,1093,1108
"ZT3D7_G1512",0,3,1,4,7,2,8,238,40,641,449,937,0,3,6,67,8,6,55,48,40,931,722,815
"ZT3D7_G1513",5,14,1,7,7,12,33,463,191,412,610,577,6,12,15,91,33,46,171,158,183,732,608,929
"ZT3D7_G1514",6,0,4,7,14,4,29,211,84,242,158,330,2,1,1,102,21,18,67,95,46,469,232,311
"ZT3D7_G1515",0,1,1,4,6,5,16,105,36,271,344,427,1,7,3,43,2,7,42,32,30,410,354,496
"ZT3D7_G1516",3,15,3,6,15,2,21,174,78,105,136,194,9,11,6,42,24,20,65,59,64,337,151,188
"ZT3D7_G1517",8,18,11,14,20,11,25,350,166,976,1286,1312,10,17,6,126,22,30,170,147,130,1516,1205,1066
"ZT3D7_G1518",2,2,2,0,12,2,7,160,65,426,506,593,4,6,4,62,3,8,59,51,38,485,441,543
"ZT3D7_G1519",21,20,17,16,63,47,121,836,443,4352,4573,6383,19,34,23,529,85,126,440,415,379,5998,3674,4451
"ZT3D7_G1520",0,7,1,5,9,4,30,167,77,486,402,657,3,6,10,77,7,14,84,67,104,793,875,779
"ZT3D7_G1521",10,21,10,26,43,31,123,752,306,1065,1383,1087,15,19,36,168,64,113,274,306,302,851,670,1273
"ZT3D7_G1522",9,26,15,11,18,30,60,488,165,1062,1077,1174,18,35,28,131,31,37,161,167,143,1177,728,1683
"ZT3D7_G1523",0,13,2,2,7,5,5,60,36,202,270,343,4,14,15,66,13,10,19,9,29,838,617,785
"ZT3D7_G1524",1,8,3,4,3,1,5,70,12,146,220,220,1,5,1,22,4,11,16,3,55,248,164,315
"ZT3D7_G1525",2,0,0,3,1,0,11,55,10,29,36,40,1,0,0,6,3,2,9,18,15,25,15,52
"ZT3D7_G1526",9,22,6,7,18,16,66,486,288,1344,1615,1757,10,13,37,193,24,43,241,181,170,2309,1329,1525
"ZT3D7_G1527",0,1,0,0,0,1,7,13,6,11,17,22,0,1,0,7,3,2,9,8,6,72,34,67
"ZT3D7_G1528",0,9,0,5,8,7,16,175,100,304,359,416,3,7,11,44,10,17,81,65,74,352,367,386
"ZT3D7_G1529",0,7,6,16,6,12,33,227,132,369,438,507,4,9,17,56,19,20,76,94,67,542,390,423
"ZT3D7_G1530",0,6,1,0,2,0,3,47,13,117,106,136,0,0,0,24,3,6,17,15,18,211,240,245
"ZT3D7_G1531",4,16,3,6,7,12,30,280,140,264,313,264,11,9,3,68,19,33,118,110,133,346,216,398
"ZT3D7_G1532",5,20,15,10,26,13,74,601,254,1383,1791,1568,20,32,38,147,40,43,163,182,256,1185,910,1935
"ZT3D7_G1533",9,10,1,15,10,12,11,366,177,478,471,585,12,12,3,85,27,41,171,121,72,521,321,578
"ZT3D7_G1534",2,0,1,3,3,7,12,132,42,111,105,191,4,2,2,47,13,12,45,55,50,201,188,301
"ZT3D7_G1535",5,2,2,7,10,10,19,153,40,482,649,652,4,3,0,24,13,9,29,52,60,125,123,188
"ZT3D7_G1536",6,28,8,5,9,9,14,243,70,595,946,799,4,8,4,194,2,15,49,47,35,3054,1179,1736
"ZT3D7_G1537",2,8,4,2,10,5,50,200,69,619,751,810,8,9,19,66,20,23,69,106,173,779,581,658
"ZT3D7_G1538",9,16,12,14,46,28,103,396,157,1992,2053,2481,15,21,23,265,53,54,201,322,177,3187,2478,3073
"ZT3D7_G1539",0,3,1,2,7,3,6,101,46,380,378,571,1,3,2,48,5,3,37,16,26,473,412,437
"ZT3D7_G1540",4,13,3,4,8,2,14,246,86,978,1131,1494,1,5,0,81,16,17,49,75,62,944,967,1402
"ZT3D7_G1541",4,6,1,1,10,5,27,220,85,390,427,537,6,12,10,77,29,25,118,112,105,653,403,745
"ZT3D7_G1542",6,5,1,5,21,18,51,186,140,135,134,184,6,4,10,70,26,37,131,184,94,133,99,189
"ZT3D7_G1543",5,10,3,11,13,8,37,343,170,1451,1458,2110,5,12,15,109,18,22,148,130,83,1409,1321,1332
"ZT3D7_G1544",43,71,29,82,96,114,141,1416,783,1633,1748,2106,101,138,113,389,168,263,653,777,519,1206,1256,1472
"ZT3D7_G1545",7,3,5,10,20,16,45,531,230,1487,1291,1919,2,15,12,196,28,43,176,189,168,2022,1401,1342
"ZT3D7_G1546",2,7,0,3,7,2,35,152,41,711,831,989,5,7,6,110,6,24,44,33,63,1261,880,1118
"ZT3D7_G1547",4,8,4,5,10,5,39,295,254,796,886,1248,13,11,15,111,21,32,163,91,121,1240,925,1154
"ZT3D7_G1548",1,2,0,0,0,0,0,17,15,30,46,63,1,0,0,6,3,0,6,14,10,66,39,63
"ZT3D7_G1549",110,300,145,212,416,361,1005,11341,6775,47830,55100,60497,211,251,252,3128,430,926,4837,3978,4136,35868,38302,26376
"ZT3D7_G1550",117,319,108,232,539,381,1423,15874,8751,48053,40706,60323,225,223,306,3867,567,1111,7202,5660,5126,40598,34222,24470
"ZT3D7_G1551",6,17,9,11,33,10,34,361,155,1169,1128,1542,5,13,13,113,29,43,154,111,154,1295,913,860
"ZT3D7_G1552",2,6,8,7,17,9,39,330,185,653,748,995,3,5,9,112,24,38,193,140,142,859,620,803
"ZT3D7_G1553",0,1,0,0,0,0,3,191,38,327,550,571,0,0,2,115,1,2,55,15,15,2066,897,1332
"ZT3D7_G1554",3,0,2,0,4,2,19,485,78,365,689,662,5,2,1,134,2,6,94,54,44,2095,1070,1341
"ZT3D7_G1555",4,2,1,13,13,16,59,199,136,113,74,150,8,0,3,105,23,47,172,284,189,153,149,113
"ZT3D7_G1556",3,20,2,2,10,7,18,147,15,1917,2594,2814,9,18,4,876,26,32,55,49,33,14717,4932,9286
"ZT3D7_G1557",66,248,91,167,286,265,660,7874,4839,25297,25863,32868,130,157,165,2141,350,579,4162,2938,2764,23556,21561,16230
"ZT3D7_G1558",18,18,12,15,27,11,49,665,295,3377,3407,4918,15,14,12,329,22,55,279,244,231,4589,3147,3192
"ZT3D7_G1559",6,11,1,4,9,2,21,163,81,602,604,846,7,7,7,87,10,23,74,69,59,924,622,889
"ZT3D7_G1560",7,11,6,12,32,32,72,439,143,1359,1575,1774,6,7,11,156,43,49,214,206,281,1458,1350,1665
"ZT3D7_G1561",14,20,9,23,23,32,62,739,449,1305,1211,1442,30,9,44,215,28,68,412,283,190,1892,1388,1410
"ZT3D7_G1562",0,13,3,9,4,7,21,225,123,792,768,1098,8,6,12,108,25,31,94,127,72,1141,714,601
"ZT3D7_G1563",0,4,2,2,5,0,0,46,2,46,83,70,0,2,5,6,4,3,10,4,10,61,42,55
"ZT3D7_G1564",14,2,1,8,26,17,59,282,93,458,523,607,9,12,3,87,38,60,132,158,269,412,466,504
"ZT3D7_G1565",3,6,3,5,26,6,22,101,8,72,185,148,9,3,6,68,18,31,26,39,180,143,152,258
"ZT3D7_G1566",6,7,6,3,21,10,27,329,99,727,840,929,6,9,5,99,24,33,117,98,109,1033,661,901
"ZT3D7_G1567",0,1,0,3,8,2,18,1713,317,3131,3163,3878,1,0,0,310,4,0,97,30,60,5592,2887,4780
"ZT3D7_G1568",11,0,2,21,36,28,61,153,109,307,382,560,5,5,2,116,55,80,130,168,148,165,92,183
"ZT3D7_G1569",3,14,3,13,39,21,105,476,250,1626,1785,2186,10,5,8,196,48,67,197,253,311,1836,1295,1340
"ZT3D7_G1570",1,3,7,5,3,4,23,1073,696,2222,1674,2950,7,2,17,278,7,15,357,128,76,4254,2254,1461
"ZT3D7_G1571",10,83,23,15,40,15,41,1580,598,2192,2125,2512,87,29,109,223,34,36,539,231,149,3084,1793,2252
"ZT3D7_G1572",1,6,3,4,9,3,22,464,183,727,855,755,4,4,1,40,1,6,23,16,33,519,247,330
"ZT3D7_G1573",5,1,2,5,14,13,38,83,28,53,66,43,12,1,3,7,16,19,23,19,61,67,28,53
"ZT3D7_G1574",5,3,2,4,13,5,5,234,40,787,803,989,2,3,14,66,1,5,8,13,26,1036,678,1112
"ZT3D7_G1575",0,0,0,1,7,1,6,111,20,379,367,565,0,1,3,34,9,3,21,25,50,466,243,515
"ZT3D7_G1576",5,9,7,1,12,4,22,349,107,1681,2096,2174,4,5,13,102,3,16,56,71,46,1545,1129,1259
"ZT3D7_G1577",0,0,0,0,2,0,2,29,0,172,102,202,0,1,0,4,1,2,7,2,8,25,4,13
"ZT3D7_G1578",13,64,20,17,39,15,14,114,84,2127,1541,2446,81,46,71,820,30,54,70,29,36,12845,8179,5152
"ZT3D7_G1579",0,0,0,1,2,0,4,18,1,110,169,194,1,5,0,65,8,4,20,30,22,725,661,856
"ZT3D7_G1580",7,26,13,10,32,20,71,343,139,1572,1759,2151,16,34,23,172,30,38,100,151,230,1464,1144,1843
"ZT3D7_G1581",0,0,0,0,0,0,2,7,0,23,18,26,0,0,0,3,1,0,11,5,8,29,13,13
"ZT3D7_G1582",0,4,3,1,4,0,14,495,114,107,185,203,0,1,0,49,0,7,107,52,65,290,154,484
"ZT3D7_G1583",2,0,1,0,0,0,28,113,8,348,358,400,4,1,0,47,0,0,35,25,59,543,483,821
"ZT3D7_G1584",0,2,2,3,8,9,27,200,69,743,775,1046,3,1,5,86,8,6,26,27,37,1150,1108,1313
"ZT3D7_G1585",5,35,15,12,39,28,52,778,399,4260,4288,5746,29,45,45,532,46,67,330,284,252,7599,5300,5157
"ZT3D7_G1586",1,2,1,0,3,0,10,76,26,306,226,535,0,2,0,28,3,4,11,16,20,379,290,254
"ZT3D7_G1587",6,3,3,11,8,11,60,121,188,333,439,837,5,11,4,141,50,16,114,141,51,907,711,1998
"ZT3D7_G1588",3,0,1,1,3,2,11,19,3,28,68,51,4,0,0,7,0,2,17,16,11,55,57,136
"ZT3D7_G1589",2,15,9,7,25,15,57,509,291,1746,1828,2604,6,10,30,149,37,35,210,195,149,2075,1754,1850
"ZT3D7_G1590",0,6,1,0,1,0,0,11,0,16,7,20,5,13,13,40,6,16,20,27,39,201,211,275
"ZT3D7_G1591",3,6,3,9,3,13,67,441,230,984,882,1204,13,7,15,125,19,42,163,122,143,1412,1174,1457
"ZT3D7_G1592",3,9,8,3,9,4,12,113,65,763,826,1116,15,3,6,125,20,17,80,67,43,1498,818,841
"ZT3D7_G1593",17,79,23,37,266,53,696,2139,197,8105,15849,11252,27,134,47,2015,177,282,570,780,2742,26347,10898,18507
"ZT3D7_G1594",2,13,5,3,12,8,37,206,88,445,507,642,9,4,7,90,11,16,84,57,80,955,755,862
"ZT3D7_G1595",8,5,1,0,6,8,20,167,114,256,138,200,1,2,0,18,11,6,53,51,26,82,55,50
"ZT3D7_G1596",3,13,2,5,10,3,21,104,22,104,123,155,15,7,12,16,6,11,37,17,16,204,113,167
"ZT3D7_G1597",0,0,0,0,0,0,0,1,0,3,1,2,0,1,2,1,1,0,0,5,0,11,23,27
"ZT3D7_G1598",9,2,2,15,27,21,51,127,78,417,408,639,1,4,0,100,37,44,127,162,174,149,144,290
"ZT3D7_G1599",2,0,0,0,1,0,0,10,10,136,142,227,0,0,0,8,0,2,1,2,0,95,76,80
"ZT3D7_G1600",0,0,0,1,3,1,3,108,25,314,380,426,0,0,0,72,4,2,38,11,6,1190,855,879
"ZT3D7_G1601",3,1,2,9,25,18,47,153,84,201,279,285,5,4,18,97,43,54,114,124,108,434,195,388
"ZT3D7_G1602",55,1,6,55,198,184,408,1008,625,17,19,19,33,8,2,425,117,258,503,705,1159,25,23,21
"ZT3D7_G1603",22,48,20,32,42,40,86,1172,690,5843,5840,7602,50,50,60,525,77,96,465,410,312,7201,5579,4916
"ZT3D7_G1604",0,3,0,0,12,1,14,80,39,134,192,171,0,0,0,20,7,7,26,25,34,159,119,226
"ZT3D7_G1605",2,6,3,0,7,5,18,427,330,804,903,1243,10,3,14,53,7,14,201,83,83,609,791,559
"ZT3D7_G1606",2,7,3,6,17,9,73,342,173,820,1013,1068,2,10,15,138,23,41,197,202,192,1111,822,1174
"ZT3D7_G1607",0,1,0,0,0,0,0,1,4,14,4,9,0,1,3,1,0,3,2,4,5,47,23,34
"ZT3D7_G1608",9,23,7,17,35,30,98,1054,553,2719,3227,3774,23,26,35,348,73,100,497,365,407,3602,3348,3477
"ZT3D7_G1609",0,3,0,3,1,0,3,36,14,97,178,104,0,3,0,12,2,1,11,5,9,163,163,183
"ZT3D7_G1610",0,14,2,7,11,7,43,338,162,1893,1856,2582,12,16,14,200,23,34,123,96,169,2625,1905,2128
"ZT3D7_G1611",2,3,0,3,6,3,29,166,60,546,654,767,7,2,7,56,13,10,60,41,38,446,349,483
"ZT3D7_G1612",1,3,4,0,3,0,3,46,25,74,87,95,0,2,0,7,1,4,5,6,19,73,75,109
"ZT3D7_G1613",0,4,0,0,3,3,9,136,11,246,600,385,2,2,4,32,12,8,56,38,53,305,261,580
"ZT3D7_G1614",2,3,2,8,12,3,44,287,157,1066,942,1429,4,4,3,103,20,34,119,93,149,1178,1206,1156
"ZT3D7_G1615",7,18,15,10,29,18,61,628,220,2212,2231,3149,48,43,34,320,54,56,169,139,128,4138,2053,2903
"ZT3D7_G1616",3,4,4,5,3,5,22,242,60,523,499,817,10,17,6,76,7,14,119,64,78,626,370,441
"ZT3D7_G1617",0,0,0,0,0,0,0,16,0,34,37,44,0,0,0,7,1,0,8,2,6,100,47,84
"ZT3D7_G1618",5,25,11,14,39,17,66,657,321,2597,2762,3305,26,33,38,322,39,72,295,258,273,4144,2876,2978
"ZT3D7_G1619",0,0,0,0,0,0,2,6,0,3,20,15,0,1,0,8,3,2,2,2,14,27,7,21
"ZT3D7_G1620",3,19,12,15,23,16,62,680,236,3293,3341,4998,18,37,26,363,25,51,127,157,129,4859,3809,3511
"ZT3D7_G1621",3,23,6,11,19,18,72,417,239,1018,960,1373,15,16,17,172,18,40,197,138,188,1573,902,1073
"ZT3D7_G1622",10,42,21,15,30,23,79,611,355,1313,1250,1517,47,57,31,254,71,99,201,242,204,2417,1212,1437
"ZT3D7_G1623",25,36,8,26,46,40,103,560,404,2393,1718,2895,34,56,68,518,111,132,253,411,269,5917,2844,3837
"ZT3D7_G1624",1,7,2,3,8,3,25,214,96,717,635,1023,5,1,13,96,6,18,116,67,78,931,808,843
