"","1A5-1-7d_R1","1A5-7-7d_R1","1A5-10-7d_R1","1A5-3-12d_R1","1A5-5-12d_R1","1A5-7-12d_R1","1A5-8-14d_R1","1A5-9-14d_R1","1A5-10-14d_R1","1A5-3-28d_R1","1A5-6-28d_R1","1A5-7-28d_R1","1E4-4-7d_R1","1E4-5-7d_R1","1E4-6-7d_R1","1E4-3-12d_R1","1E4-6-12d_R1","1E4-7-12d_R1","1E4-5-14d_R1","1E4-8-14d_R1","1E4-10-14d_R1","1E4-3-28d_R1","1E4-4-28d_R1","1E4-6-28d_R1"
"ZT3D7_G7796",17,12,8,35,115,44,318,2421,560,2918,3948,3551,14,17,26,641,123,191,610,790,1052,6060,4094,5657
"ZT3D7_G7797",5,5,2,15,14,20,64,571,149,590,665,584,8,5,3,141,28,49,151,161,190,836,541,1059
"ZT3D7_G7798",0,0,0,2,5,0,24,780,277,1691,1676,2102,0,7,4,273,9,9,168,56,84,4241,2089,2755
"ZT3D7_G7799",1,0,0,0,0,0,3,13,0,13,3,15,0,0,3,2,0,3,16,16,28,23,8,19
"ZT3D7_G7800",3,5,5,50,85,43,308,701,222,116,149,151,16,31,44,339,83,132,276,367,1246,180,141,356
"ZT3D7_G7801",1,0,1,7,2,4,7,41,2,90,97,197,2,1,0,13,2,9,11,14,46,142,136,146
"ZT3D7_G7802",1,10,6,10,16,8,24,293,128,771,863,1087,2,7,6,65,18,22,102,72,98,716,768,913
"ZT3D7_G7803",7,45,22,37,30,20,50,714,333,3961,3128,4883,23,54,47,347,32,37,154,109,100,5431,3620,4040
"ZT3D7_G7804",2,17,7,17,9,10,24,323,153,1473,1214,1767,8,7,13,146,17,35,83,89,71,1902,1056,1379
"ZT3D7_G7805",11,12,13,60,60,60,169,906,389,2260,2434,3224,32,33,28,298,58,75,361,403,433,2516,2301,2811
"ZT3D7_G7806",7,15,11,55,18,11,43,378,201,701,620,814,16,19,58,136,20,40,148,160,133,836,577,659
"ZT3D7_G7807",4,10,6,7,23,9,51,609,283,1597,1345,1883,10,11,19,190,30,22,204,192,143,2158,1764,1704
"ZT3D7_G7808",20,26,16,64,26,35,82,606,183,2163,1831,2737,38,81,33,302,41,47,100,206,371,3204,2107,2434
"ZT3D7_G7809",3,1,2,8,22,11,56,203,78,96,74,117,3,3,7,53,22,12,109,124,105,125,79,99
"ZT3D7_G7810",3,5,3,12,32,14,46,604,199,1848,1736,2502,11,12,23,187,28,56,193,180,205,2323,1738,2229
"ZT3D7_G7811",0,2,5,7,3,3,6,144,65,357,384,621,2,17,5,97,14,12,41,34,40,1411,808,756
"ZT3D7_G7812",1,0,1,1,3,5,10,27,0,48,40,48,0,0,0,16,1,3,8,4,9,68,62,59
"ZT3D7_G7813",2,0,6,3,0,1,9,53,12,132,111,147,3,2,5,15,3,3,8,23,15,121,99,146
"ZT3D7_G7814",31,6,4,53,132,77,231,524,386,577,691,964,19,21,5,370,115,222,314,750,730,708,891,989
"ZT3D7_G7815",0,0,0,0,0,0,0,14,4,35,37,33,0,0,0,6,4,3,5,5,1,40,28,25
"ZT3D7_G7816",37,51,9,49,36,28,64,1328,347,2420,3054,2759,25,38,55,223,68,86,346,317,314,2263,2043,3663
"ZT3D7_G7817",0,0,1,0,0,0,2,21,3,17,17,45,2,1,0,1,0,1,0,1,6,55,13,37
"ZT3D7_G7818",4,4,4,5,11,7,16,164,60,519,515,691,5,7,9,77,17,15,68,70,64,855,378,394
"ZT3D7_G7819",2,20,10,13,28,16,41,578,199,1434,1556,1789,6,23,25,129,32,37,256,163,138,1429,961,1186
"ZT3D7_G7820",2,1,6,4,13,8,19,143,39,445,351,553,5,2,5,62,7,18,28,34,38,535,461,527
"ZT3D7_G7821",0,0,0,0,1,0,2,13,9,39,69,82,0,1,0,4,0,2,12,5,3,81,67,110
"ZT3D7_G7822",28,7,6,30,66,80,143,356,198,213,312,243,13,16,15,281,118,122,331,414,412,1024,697,689
"ZT3D7_G7823",0,0,0,0,0,0,2,24,6,45,19,40,0,0,0,7,3,1,4,8,7,25,23,28
