"","3D7_vitro_MM_rep3","3D1_vitro_YSB_rep3","3D1_vitro_MM_rep2","3D7_vitro_YSB_rep1","3D7_vitro_YSB_rep3","3D7_vitro_YSB_rep2","3D7_vitro_MM_rep1","3D7_vitro_MM_rep2","3D1_vitro_MM_rep1","3D1_vitro_MM_rep3","3D1_vitro_YSB_rep1","3D1_vitro_YSB_rep2"
"ZT3D7_G4900",1605,2138,173,2347,2534,2406,2056,1483,235,187,4162,1989
"ZT3D7_G4901",315,196,420,230,243,251,375,318,399,302,254,179
"ZT3D7_G4902",227,358,256,495,511,463,254,212,337,274,535,322
"ZT3D7_G4903",2263,2689,2807,4566,4866,4255,2261,2172,2992,2574,4645,2652
"ZT3D7_G4904",749,901,1213,1433,1354,1100,676,813,1324,1077,1220,647
"ZT3D7_G4905",8869,1292,10918,1670,2191,1770,8166,8918,12646,10997,1911,1196
"ZT3D7_G4906",8,3,16,7,4,5,10,18,36,17,2,3
"ZT3D7_G4907",318,239,393,446,529,433,303,258,433,404,368,196
"ZT3D7_G4908",644,183,505,171,168,163,634,704,587,446,258,151
"ZT3D7_G4909",228,87,146,77,52,36,191,262,168,147,99,64
"ZT3D7_G4910",761,1143,1776,417,515,455,740,1138,1849,1545,1516,994
"ZT3D7_G4911",143,50,187,89,103,88,162,216,208,156,77,48
"ZT3D7_G4912",99,40,93,56,64,41,79,95,78,85,45,24
"ZT3D7_G4913",606,12,72,28,15,18,397,719,50,76,15,2
"ZT3D7_G4914",83,252,92,638,860,942,118,84,106,84,494,254
"ZT3D7_G4915",1224,17949,266,33080,31981,28190,1206,1500,468,224,29229,14567
"ZT3D7_G4916",264,373,432,673,753,666,231,291,455,363,532,377
"ZT3D7_G4917",189,54,138,132,176,175,224,198,142,106,107,52
"ZT3D7_G4918",127,22,17,100,80,79,74,114,38,20,40,26
"ZT3D7_G4919",76,33,18,59,82,50,63,72,29,21,24,19
"ZT3D7_G4920",1130,1179,1106,1745,1538,1334,793,1091,882,937,1593,845
"ZT3D7_G4921",811,864,1104,1027,1006,843,797,783,1229,861,1096,694
"ZT3D7_G4922",1171,231,227,2107,1772,1671,800,1462,243,163,286,161
"ZT3D7_G4923",97,29,237,54,73,46,70,58,288,249,31,14
"ZT3D7_G4924",8,13,41,51,32,36,4,3,24,20,30,19
"ZT3D7_G4925",21,25,17,25,21,24,14,12,16,15,36,20
"ZT3D7_G4926",255,924,379,900,1510,1035,242,250,378,330,1481,886
"ZT3D7_G4927",83,20,106,68,89,78,76,89,113,68,42,28
"ZT3D7_G4928",1818,788,1601,2431,2320,1829,1525,2108,1714,1619,1288,778
"ZT3D7_G4929",28,11,22,4,4,9,35,30,49,32,20,4
"ZT3D7_G4930",58,29,86,10,11,16,53,81,86,84,33,16
"ZT3D7_G4931",6397,667,671,432,513,542,7116,6432,885,587,1023,586
"ZT3D7_G4932",6,3,48,10,6,4,3,12,46,33,4,3
"ZT3D7_G4933",292,421,274,695,735,629,347,228,341,292,712,380
"ZT3D7_G4934",2796,3104,2710,3290,3442,2929,2521,2802,2777,2226,4605,2464
"ZT3D7_G4935",1139,1364,1942,1451,1330,1232,1306,1366,1729,1574,2033,1031
"ZT3D7_G4936",1428,2296,2264,5251,5621,4843,1413,1293,2196,2125,3939,2507
"ZT3D7_G4937",370,272,378,396,413,343,414,434,397,350,465,165
"ZT3D7_G4938",179,12,12,64,100,55,214,192,9,10,23,19
"ZT3D7_G4939",408,135,281,237,280,284,519,367,418,300,219,153
"ZT3D7_G4940",410,271,249,279,406,330,439,371,448,279,486,281
"ZT3D7_G4941",39,40,55,66,84,77,38,61,64,32,99,47
"ZT3D7_G4942",340,273,144,529,583,513,251,302,112,121,461,210
"ZT3D7_G4943",867,410,433,491,433,436,687,788,439,374,610,314
"ZT3D7_G4944",710,347,1072,507,610,395,704,654,1374,1132,520,316
"ZT3D7_G4945",513,433,616,591,587,616,405,487,588,606,602,312
"ZT3D7_G4946",1169,1073,1882,1657,1844,1769,1757,1064,2433,1840,1862,1031
"ZT3D7_G4947",257,227,462,294,258,233,233,223,473,400,386,237
"ZT3D7_G4948",381,430,295,526,546,570,361,395,274,203,641,389
"ZT3D7_G4949",8,7,27,3,3,3,14,5,23,20,7,7
"ZT3D7_G4950",43,31,76,21,39,29,57,38,91,81,38,11
"ZT3D7_G4951",14,9,38,2,3,4,35,20,34,23,12,7
"ZT3D7_G4952",359,169,202,97,104,79,334,334,203,161,252,128
"ZT3D7_G4953",223,1214,601,2349,2353,2103,212,303,667,527,1896,1247
"ZT3D7_G4954",798,607,2539,463,571,456,805,646,3793,2735,1047,600
"ZT3D7_G4955",606,731,2284,1115,1175,1000,769,591,3415,2418,1187,764
"ZT3D7_G4956",494,115,736,474,595,508,435,436,844,635,193,168
"ZT3D7_G4957",442,151,375,265,275,235,330,408,421,332,205,145
"ZT3D7_G4958",663,230,605,286,330,307,728,531,795,561,372,187
"ZT3D7_G4959",2474,3054,4507,4768,5716,4685,3059,2564,9370,5574,4861,3009
"ZT3D7_G4960",832,517,2670,776,901,775,843,892,2879,2351,636,389
"ZT3D7_G4961",1479,2069,2665,2281,1704,1417,991,1508,2820,2460,2651,1363
"ZT3D7_G4962",32,53,70,44,58,40,55,29,79,59,60,40
"ZT3D7_G4963",585,562,726,1409,1098,993,561,588,636,675,777,474
"ZT3D7_G4964",603,845,662,1758,1583,1330,675,669,908,652,1333,673
"ZT3D7_G4965",266,174,605,182,177,178,375,200,613,631,228,124
"ZT3D7_G4966",219,321,385,634,708,573,220,239,324,339,504,293
"ZT3D7_G4967",141,152,156,604,446,415,131,155,121,132,213,144
"ZT3D7_G4968",200,314,290,323,327,330,265,292,258,247,502,230
"ZT3D7_G4969",640,429,576,429,534,420,643,559,611,566,769,376
"ZT3D7_G4970",608,584,766,991,768,792,579,708,742,606,852,431
"ZT3D7_G4971",444,1141,396,2313,1839,1647,521,595,525,353,1239,804
"ZT3D7_G4972",280,128,126,462,512,450,367,231,137,122,172,118
"ZT3D7_G4973",235,593,178,977,1060,972,263,153,214,180,1020,573
"ZT3D7_G4974",1053,475,5226,203,121,133,883,879,6114,6585,546,307
"ZT3D7_G4975",1180,865,1520,1686,1757,1448,1316,970,1868,1569,1442,841
"ZT3D7_G4976",467,399,933,417,547,471,500,438,1217,988,677,313
"ZT3D7_G4977",33,102,31,54,69,44,21,32,44,43,113,79
"ZT3D7_G4978",4,6,51,5,6,11,12,15,50,33,10,3
"ZT3D7_G4979",31,98,99,51,85,62,35,23,130,94,121,83
"ZT3D7_G4980",248,2959,949,6722,8045,7068,218,273,957,728,4395,2742
"ZT3D7_G4981",700,838,1609,1142,1123,1112,995,971,1485,1538,1424,729
"ZT3D7_G4982",178,114,96,218,189,145,132,127,104,106,200,108
"ZT3D7_G4983",802,366,605,520,588,599,692,680,656,559,632,341
"ZT3D7_G4984",1165,1752,956,2097,2243,2385,1289,1119,1024,952,2957,1584
"ZT3D7_G4985",4,0,18,10,16,6,3,5,8,5,2,1
"ZT3D7_G4986",236,162,334,294,327,293,209,273,412,317,272,136
"ZT3D7_G4987",390,329,557,1029,1360,1222,409,311,910,567,623,346
"ZT3D7_G4988",73,49,213,31,45,31,32,48,315,308,66,45
"ZT3D7_G4989",64,148,273,103,100,76,62,52,291,276,237,137
"ZT3D7_G4990",464,628,1032,949,1045,916,446,361,1204,1086,1118,538
"ZT3D7_G4991",463,1427,798,1655,1376,1286,474,660,727,599,1592,943
"ZT3D7_G4992",286,187,610,181,239,242,386,403,559,609,343,161
"ZT3D7_G4993",63,208,224,141,250,166,70,55,253,221,384,244
"ZT3D7_G4994",609,403,495,704,736,650,616,545,538,515,726,389
"ZT3D7_G4995",1695,1663,1683,2281,2277,2304,2121,1971,1793,1408,2732,1413
"ZT3D7_G4996",1181,1289,1191,1799,1763,1639,1165,1055,1253,1156,2023,1028
"ZT3D7_G4997",485,592,866,668,551,472,349,448,909,681,766,448
"ZT3D7_G4998",162,206,87,278,379,335,136,125,107,77,304,157
"ZT3D7_G4999",576,228,481,427,512,501,625,536,564,450,461,238
"ZT3D7_G5000",338,292,676,518,588,477,392,378,648,591,440,236
"ZT3D7_G5001",253,425,137,713,650,579,191,262,211,156,614,332
"ZT3D7_G5002",2801,3050,6553,2805,3393,2940,2753,2871,7225,5800,4823,2733
"ZT3D7_G5003",212,512,258,565,517,504,230,225,256,213,717,463
"ZT3D7_G5004",508,441,723,545,534,590,472,446,774,602,630,382
"ZT3D7_G5005",511,1020,847,1152,1207,1037,513,423,1116,782,1603,837
"ZT3D7_G5006",642,568,1083,750,594,521,544,638,1079,925,813,417
"ZT3D7_G5007",453,1377,1570,6103,6065,5573,409,491,1637,1352,1939,1385
"ZT3D7_G5008",534,359,598,725,603,567,533,617,597,489,534,236
"ZT3D7_G5009",4237,3375,6588,7303,5369,4020,3810,4874,7262,5983,4053,2160
"ZT3D7_G5010",2536,3805,5251,4733,4869,4088,2710,2771,6606,4709,5457,3632
"ZT3D7_G5011",2015,2542,2087,3063,3120,2784,2167,2277,1832,1795,3563,2043
"ZT3D7_G5012",19,23,51,11,18,19,30,16,92,63,31,15
"ZT3D7_G5013",287,310,484,400,320,309,251,210,640,459,481,229
"ZT3D7_G5014",42,32,79,46,82,72,30,35,94,59,43,34
"ZT3D7_G5015",75,3,18,216,240,234,40,31,22,24,7,1
"ZT3D7_G5016",490,718,334,884,1006,959,491,507,287,266,1247,539
"ZT3D7_G5017",1137,5685,2626,5468,5220,5215,1221,1296,2887,2510,7990,4767
"ZT3D7_G5018",478,653,367,864,986,970,388,463,389,328,995,561
"ZT3D7_G5019",89,181,96,434,426,362,137,104,85,88,295,140
"ZT3D7_G5020",38,48,35,110,102,79,31,43,32,39,65,32
"ZT3D7_G5021",118,96,90,215,221,212,102,110,128,90,190,88
"ZT3D7_G5022",287,175,312,335,561,490,382,364,398,297,324,205
"ZT3D7_G5023",744,836,504,757,927,897,777,731,504,519,1337,798
"ZT3D7_G5024",725,289,906,476,586,472,949,753,940,818,465,265
"ZT3D7_G5025",2783,3998,4973,3956,4470,3827,2968,2817,5331,4820,6073,3471
"ZT3D7_G5026",782,271,668,329,345,422,653,689,742,595,429,215
"ZT3D7_G5027",222,341,266,248,273,216,218,295,277,268,464,305
"ZT3D7_G5028",574,364,646,464,606,526,639,529,670,593,607,331
"ZT3D7_G5029",626,490,138,882,964,856,578,595,160,159,842,482
"ZT3D7_G5030",593,607,851,888,968,742,643,638,925,854,978,511
"ZT3D7_G5031",218,100,400,249,245,193,228,241,443,375,160,77
"ZT3D7_G5032",308,665,868,506,547,477,188,270,840,685,911,465
"ZT3D7_G5033",988,2031,1086,3383,3723,3200,1094,982,1227,1041,3641,2102
"ZT3D7_G5034",399,271,855,368,394,350,443,368,1187,760,399,213
"ZT3D7_G5035",791,954,2488,866,914,722,743,761,3009,2207,1150,645
"ZT3D7_G5036",97,141,251,186,228,134,128,78,292,241,217,112
"ZT3D7_G5037",125,111,220,112,157,113,126,118,282,247,137,71
"ZT3D7_G5038",933,472,595,1446,1533,1294,702,744,673,674,823,503
"ZT3D7_G5039",333,592,380,669,805,840,365,236,454,374,1083,645
"ZT3D7_G5040",1067,1457,1860,1540,2364,1928,1271,1049,2027,1561,2661,1683
"ZT3D7_G5041",75,114,159,106,114,76,83,124,165,188,168,82
"ZT3D7_G5042",141,798,219,165,230,213,130,144,268,209,1207,885
"ZT3D7_G5043",280,352,596,482,631,474,275,247,579,491,508,308
"ZT3D7_G5044",118,672,311,454,357,284,87,133,257,195,744,510
"ZT3D7_G5045",2288,3046,783,8873,9310,8035,1222,1699,948,739,4796,3325
"ZT3D7_G5046",112,240,520,289,358,277,146,100,576,544,464,308
"ZT3D7_G5047",370,134,801,275,277,207,316,256,1029,816,208,104
"ZT3D7_G5048",313,81,426,207,198,217,209,221,515,404,130,82
"ZT3D7_G5049",430,690,863,748,760,629,489,519,973,766,1029,585
"ZT3D7_G5050",2142,4302,1902,4698,5095,4503,2196,2380,2006,1685,6462,3773
"ZT3D7_G5051",89,392,215,162,217,191,122,131,245,252,633,372
"ZT3D7_G5052",217,240,411,360,487,378,222,219,426,378,483,242
"ZT3D7_G5053",3118,417,10899,1302,1097,817,2251,2422,11397,10899,525,318
"ZT3D7_G5054",997,687,2318,2074,2535,1932,1139,1049,2394,2150,1145,718
"ZT3D7_G5055",666,827,495,927,865,846,634,665,492,341,1290,687
"ZT3D7_G5056",382,163,400,248,280,259,341,365,527,425,276,139
"ZT3D7_G5057",37,2,30,6,5,11,25,25,59,55,4,2
"ZT3D7_G5058",8,2,12,3,4,6,2,9,21,11,5,1
"ZT3D7_G5059",833,1452,1510,1745,1468,1176,817,877,1643,1169,1927,1048
"ZT3D7_G5060",140,34,160,47,63,56,99,92,221,129,35,26
"ZT3D7_G5061",113,98,290,73,71,89,108,131,315,260,152,71
"ZT3D7_G5062",80,116,200,156,169,148,69,86,210,150,119,89
"ZT3D7_G5063",928,282,2979,722,786,668,729,1149,2486,2824,316,200
"ZT3D7_G5064",387,319,769,794,842,888,485,330,1006,597,593,308
"ZT3D7_G5065",31,2,22,12,13,11,39,18,26,13,4,4
"ZT3D7_G5066",0,42,118,1,1,0,0,0,132,71,98,61
"ZT3D7_G5067",16,26,75,53,41,35,5,24,86,69,29,19
"ZT3D7_G5068",18,0,16,6,4,5,5,13,27,15,0,0
"ZT3D7_G5069",7216,2350,987,10310,8669,7587,5459,7263,1224,699,4284,1702
"ZT3D7_G5070",262,428,240,524,689,556,218,309,281,168,652,392
"ZT3D7_G5071",127,438,198,574,650,607,140,166,239,187,678,381
"ZT3D7_G5072",378,44,104,60,39,30,314,309,185,104,39,27
"ZT3D7_G5073",116,58,344,24,47,39,145,119,473,395,79,41
"ZT3D7_G5074",246,20,114,55,57,76,229,170,136,106,39,38
"ZT3D7_G5075",2734,2997,2381,1356,1471,1182,1971,3452,2202,1868,3111,1958
"ZT3D7_G5076",408,671,682,711,694,544,370,499,607,682,993,567
"ZT3D7_G5077",811,898,1240,928,1261,1094,728,913,1273,1013,1371,936
"ZT3D7_G5078",599,140,229,108,133,113,493,534,247,222,195,114
"ZT3D7_G5079",446,307,642,419,340,236,420,430,794,709,296,172
"ZT3D7_G5080",884,695,1091,1021,991,1023,850,748,1172,982,1088,610
"ZT3D7_G5081",900,1382,1287,1865,1642,1560,1005,685,1393,1018,2326,1199
"ZT3D7_G5082",26,144,69,140,137,116,34,60,46,74,198,121
"ZT3D7_G5083",428,43,187,178,210,137,279,350,190,170,66,47
"ZT3D7_G5084",507,735,511,974,1131,960,460,459,662,463,1149,684
"ZT3D7_G5085",483,839,992,1149,1082,1021,372,483,1007,845,1198,678
"ZT3D7_G5086",137,53,271,79,98,84,77,137,268,179,46,42
"ZT3D7_G5087",111,100,417,105,119,139,85,106,436,425,162,123
"ZT3D7_G5088",320,740,1091,5755,6215,6011,324,300,1083,1102,1412,775
"ZT3D7_G5089",1558,3202,1471,3647,4319,4113,1416,1543,1358,1112,5070,2921
"ZT3D7_G5090",75,137,43,16,17,16,82,75,61,55,260,138
"ZT3D7_G5091",439,737,1998,654,668,569,607,485,2708,2106,1188,682
"ZT3D7_G5092",85,10,46,9,8,9,86,107,45,36,15,11
"ZT3D7_G5093",737,802,1818,1303,1337,1230,867,731,2082,1879,1459,802
"ZT3D7_G5094",788,927,474,1310,1143,1293,848,935,458,365,1340,570
"ZT3D7_G5095",119,80,128,84,83,78,147,99,184,133,109,58
"ZT3D7_G5096",584,483,726,851,1089,605,625,466,1379,819,693,442
"ZT3D7_G5097",0,0,0,0,0,0,0,0,0,1,0,0
"ZT3D7_G5098",77,123,179,58,47,33,31,74,145,118,132,97
"ZT3D7_G5099",705,976,1933,1320,1404,1163,916,620,2437,1944,1470,739
"ZT3D7_G5100",571,973,392,1504,1463,1344,528,519,419,400,1621,838
"ZT3D7_G5101",789,120,484,156,131,76,380,640,567,556,121,55
"ZT3D7_G5102",103,33,332,59,53,42,104,70,388,458,60,35
"ZT3D7_G5103",16,2,9,7,5,4,0,12,15,8,3,3
"ZT3D7_G5104",1584,336,1686,310,360,267,1699,1706,1617,1679,564,342
"ZT3D7_G5105",275,370,615,268,320,268,278,264,808,572,613,321
"ZT3D7_G5106",153,149,383,303,263,219,203,145,445,358,218,105
"ZT3D7_G5107",246,115,507,266,257,275,244,236,570,475,212,152
"ZT3D7_G5109",245,92,2357,163,247,215,225,190,2654,1897,130,85
"ZT3D7_G5110",230,306,664,310,379,292,145,177,697,529,478,294
"ZT3D7_G5111",187,819,960,976,920,759,211,198,1455,987,1190,664
"ZT3D7_G5112",390,197,1260,252,229,153,258,391,856,1049,280,169
"ZT3D7_G5113",1129,834,1515,754,879,886,1201,991,1355,1300,1479,756
"ZT3D7_G5114",195,102,247,111,140,140,238,167,299,217,186,99
"ZT3D7_G5115",83,32,65,65,67,34,78,85,80,83,67,29
"ZT3D7_G5116",181,385,579,374,375,368,168,194,560,412,549,320
"ZT3D7_G5117",51,12,71,10,27,16,54,56,73,67,18,15
"ZT3D7_G5118",55,33,67,50,62,50,59,50,106,73,43,32
"ZT3D7_G5119",38,98,95,109,160,120,44,22,104,84,213,104
"ZT3D7_G5120",42,201,563,38,47,50,30,34,597,501,297,219
"ZT3D7_G5121",0,45,73,0,0,0,0,0,81,68,83,41
"ZT3D7_G5122",20,14,432,7,3,7,14,16,536,348,27,19
"ZT3D7_G5123",9,33,414,0,2,6,15,8,456,422,56,43
"ZT3D7_G5124",71,131,217,127,173,114,72,84,238,204,234,119
"ZT3D7_G5125",167,186,191,71,82,79,184,120,229,165,268,176
"ZT3D7_G5126",489,662,927,639,791,740,483,498,999,794,1009,549
"ZT3D7_G5127",147,112,266,100,91,93,71,82,346,320,243,126
"ZT3D7_G5128",660,814,1156,1557,1895,1691,836,730,1432,1183,1589,863
"ZT3D7_G5129",3,15,79,3,2,1,3,7,144,72,33,16
"ZT3D7_G5130",795,622,3300,1128,1228,993,802,891,3152,2578,710,479
"ZT3D7_G5131",991,773,1093,1024,1120,1055,992,961,1205,938,1194,616
"ZT3D7_G5132",722,1043,743,1322,1135,1021,586,1073,674,543,1218,744
"ZT3D7_G5133",489,423,791,1296,1376,1240,545,659,738,629,791,418
"ZT3D7_G5134",325,349,281,828,757,523,250,378,259,250,522,251
"ZT3D7_G5135",5364,4683,779,1285,1826,1570,4989,5503,916,552,5956,4870
"ZT3D7_G5136",554,136,232,443,403,329,451,514,261,185,204,120
"ZT3D7_G5137",148,1099,792,610,568,477,139,118,1165,818,1210,767
"ZT3D7_G5138",1061,1681,546,4787,5572,5348,1413,1115,635,511,3041,1857
"ZT3D7_G5139",189,421,628,620,646,604,230,177,793,667,619,388
"ZT3D7_G5140",53,90,67,80,119,110,68,43,78,65,116,61
"ZT3D7_G5141",358,726,935,2142,1865,1851,436,362,1393,939,1201,616
"ZT3D7_G5142",1825,1045,2686,1397,1758,1680,2545,1979,2362,2379,1805,950
"ZT3D7_G5143",168,331,337,136,168,112,151,140,375,313,443,247
"ZT3D7_G5144",2022,4477,2621,4970,5454,4929,2295,1971,3499,2462,7719,4424
"ZT3D7_G5145",73,30,79,39,37,26,91,50,97,99,57,36
"ZT3D7_G5146",183,467,311,848,969,1068,290,199,393,293,879,402
"ZT3D7_G5147",336,5348,616,15558,18660,13614,384,563,840,673,9151,6484
"ZT3D7_G5148",171,321,421,575,596,488,197,183,526,441,474,269
"ZT3D7_G5149",158,332,146,328,274,265,142,148,151,132,508,245
"ZT3D7_G5150",598,735,725,1554,1618,1366,509,549,888,731,1293,687
"ZT3D7_G5151",371,423,267,532,481,483,352,345,286,234,685,374
"ZT3D7_G5152",177,115,282,172,190,151,179,165,358,268,201,118
"ZT3D7_G5153",295,260,122,301,357,357,284,263,143,104,437,229
"ZT3D7_G5154",10210,101,590,223,200,166,13119,10170,697,524,186,104
"ZT3D7_G5155",561,143,521,118,128,107,385,470,590,542,198,114
"ZT3D7_G5156",298,11,32,10,10,9,149,238,39,26,16,8
"ZT3D7_G5157",391,6,15,3,1,8,222,341,15,16,5,5
"ZT3D7_G5158",1591,156,525,106,113,117,1219,1156,566,485,277,136
"ZT3D7_G5159",2060,258,445,310,422,342,1794,1479,505,451,377,267
"ZT3D7_G5160",861,276,270,293,447,315,859,672,381,299,448,353
"ZT3D7_G5161",181,69,84,42,52,56,130,81,118,92,93,50
"ZT3D7_G5162",610,52,184,78,86,71,442,481,230,186,72,40
"ZT3D7_G5163",269,26,29,35,47,33,240,232,68,39,50,39
"ZT3D7_G5164",1994,633,1145,856,997,830,1655,1718,1298,1111,1008,523
"ZT3D7_G5165",701,209,452,321,317,277,510,609,550,436,341,242
"ZT3D7_G5166",2975,76,204,88,108,133,2096,2767,225,153,135,73
"ZT3D7_G5167",519,418,664,768,977,756,453,429,904,706,654,456
"ZT3D7_G5168",663,628,909,854,905,801,530,801,803,688,800,497
"ZT3D7_G5169",201,379,263,628,532,512,182,170,350,302,606,346
"ZT3D7_G5170",125,44,136,104,90,74,147,113,198,162,89,44
"ZT3D7_G5171",86,70,127,75,86,62,110,103,140,95,70,49
"ZT3D7_G5172",102,61,253,133,144,79,73,106,277,202,80,58
"ZT3D7_G5173",23,18,45,38,35,28,23,17,62,59,19,9
"ZT3D7_G5174",1866,2505,13080,139,189,186,2158,1790,17564,13229,2713,1778
"ZT3D7_G5175",4,14,13,35,43,55,15,18,25,6,20,22
"ZT3D7_G5176",405,360,260,376,401,384,366,428,306,237,614,270
"ZT3D7_G5177",2,34,147,1,3,4,4,4,185,144,58,30
"ZT3D7_G5178",827,2178,932,1461,1347,1133,813,983,929,725,2738,1478
"ZT3D7_G5179",149,107,293,101,98,86,162,135,441,314,118,76
"ZT3D7_G5180",548,421,578,968,854,789,560,520,645,516,645,347
"ZT3D7_G5181",1381,2003,1885,2036,2051,2118,1745,1561,2105,2013,3268,1886
"ZT3D7_G5182",625,1602,973,2302,2044,1599,704,592,1060,979,2206,1259
"ZT3D7_G5183",119,179,102,200,281,217,121,167,138,72,322,166
"ZT3D7_G5184",54,82,105,71,55,36,34,44,148,103,87,45
"ZT3D7_G5185",374,584,796,385,548,412,450,347,914,807,739,396
"ZT3D7_G5186",440,487,603,629,470,421,337,446,709,533,728,298
"ZT3D7_G5187",39,41,129,30,31,34,31,49,113,123,41,33
"ZT3D7_G5188",11,13,29,16,11,10,12,19,36,32,32,9
"ZT3D7_G5189",46,1,13,1,1,4,35,44,10,12,2,1
"ZT3D7_G5190",1549,950,1164,1424,1535,1547,1979,1572,1394,995,1656,774
"ZT3D7_G5191",410,529,97,563,826,748,434,553,107,92,1074,543
"ZT3D7_G5192",69,9,75,8,12,7,72,40,169,93,14,7
"ZT3D7_G5193",260,192,326,224,338,282,141,175,329,288,336,197
"ZT3D7_G5194",197,184,200,311,353,251,185,101,230,249,288,162
"ZT3D7_G5195",462,342,597,275,373,333,460,504,632,523,561,325
"ZT3D7_G5196",411,304,818,296,359,396,435,348,1151,707,488,284
"ZT3D7_G5197",65,120,306,31,72,33,88,123,383,285,168,94
"ZT3D7_G5198",7387,35,155,43,46,66,7375,7928,174,134,50,37
"ZT3D7_G5199",533,956,1161,983,1339,1286,666,656,1106,993,1598,977
"ZT3D7_G5200",6117,6126,4140,2682,3674,3067,5673,6889,4478,3477,8552,4766
"ZT3D7_G5201",1520,754,1298,2537,2797,2613,1500,1821,1373,1103,1263,740
"ZT3D7_G5202",80,50,235,45,48,46,105,77,225,177,93,44
"ZT3D7_G5203",7118,39,316,166,179,154,8463,7131,390,292,66,40
"ZT3D7_G5204",657,16,37,14,17,17,624,606,37,35,32,23
"ZT3D7_G5205",621,1526,1281,1502,1672,1286,599,491,1346,1136,2570,1463
"ZT3D7_G5206",211,116,464,264,237,175,182,235,466,426,195,92
"ZT3D7_G5207",1284,432,1885,932,802,820,1166,1299,1495,1548,722,343
"ZT3D7_G5208",23826,14063,9878,18826,15347,11719,25258,28340,10278,8030,18201,10809
"ZT3D7_G5209",2352,578,1266,3265,2883,2617,1811,2970,550,814,781,524
"ZT3D7_G5210",211,121,113,106,91,65,149,193,115,128,176,99
"ZT3D7_G5211",1561,1739,1387,2311,2412,2237,1177,1987,1279,973,2508,1470
"ZT3D7_G5212",33,6,37,12,16,11,11,26,22,29,7,4
"ZT3D7_G5213",1027,2296,1879,3205,3251,2975,1057,1135,1961,1698,3714,2135
"ZT3D7_G5214",387,189,641,370,395,312,406,358,645,574,350,199
"ZT3D7_G5215",316,194,337,423,467,381,281,216,309,321,383,220
"ZT3D7_G5216",419,158,251,271,353,311,430,427,282,184,244,143
"ZT3D7_G5217",578,49,814,184,197,145,577,538,953,918,64,33
"ZT3D7_G5218",725,545,905,682,707,682,713,682,1061,763,667,404
"ZT3D7_G5219",69,112,205,300,255,216,69,45,190,171,161,100
"ZT3D7_G5220",303,140,176,235,251,251,276,345,195,130,206,99
"ZT3D7_G5221",302,951,800,1159,1598,1567,433,411,703,693,1603,988
"ZT3D7_G5222",414,404,735,425,588,521,439,442,788,651,722,409
"ZT3D7_G5223",266,252,222,451,434,393,275,288,237,248,389,244
"ZT3D7_G5224",1267,878,2172,5330,4853,4517,1199,1136,2510,2210,1312,797
"ZT3D7_G5225",1627,1507,2284,2662,2874,2894,1760,1723,2312,1884,2487,1361
"ZT3D7_G5226",316,165,400,874,1022,895,232,325,380,285,272,167
"ZT3D7_G5227",304,540,901,509,509,515,378,318,991,894,859,485
"ZT3D7_G5228",238,590,405,680,706,568,268,266,503,428,946,489
"ZT3D7_G5229",1745,2938,3381,4001,5184,4475,1666,1587,3859,2897,4404,2913
"ZT3D7_G5230",88,432,323,512,491,444,59,100,287,233,641,420
"ZT3D7_G5231",1025,1559,3946,2370,2137,1790,801,1177,5589,3656,1781,1220
"ZT3D7_G5232",4,7,137,2,3,7,0,5,155,118,10,11
"ZT3D7_G5233",3,3,45,3,1,8,8,12,37,28,2,2
"ZT3D7_G5234",354,630,654,625,619,585,326,300,664,593,924,543
"ZT3D7_G5235",17,11,81,4,4,11,12,14,86,63,23,19
"ZT3D7_G5236",856,1481,688,1576,1397,1136,755,1074,642,569,2045,1117
"ZT3D7_G5237",1078,1290,1665,1675,1636,1290,1026,1028,1914,1734,1664,981
"ZT3D7_G5238",10229,2153,5454,2718,2809,2377,8843,10691,4439,4451,3334,2252
"ZT3D7_G5239",2731,720,908,921,793,739,2283,2790,772,862,1184,537
"ZT3D7_G5240",444,487,773,1505,1475,1341,538,535,887,714,841,476
"ZT3D7_G5241",2080,1945,3095,2522,1993,1906,2277,2854,3024,2668,2629,1206
"ZT3D7_G5242",31,15,62,18,20,22,19,33,65,65,21,11
"ZT3D7_G5243",465,777,908,1033,1381,1027,416,330,977,976,1575,915
"ZT3D7_G5244",808,695,765,1063,1095,1164,675,738,882,689,1051,549
"ZT3D7_G5245",48,1100,982,30,53,50,64,62,1314,941,1908,962
"ZT3D7_G5246",7244,679,4172,661,764,919,6723,7845,4724,3071,934,631
"ZT3D7_G5247",1202,2473,9321,3173,3415,2926,1011,1056,8582,7304,4417,2860
"ZT3D7_G5248",2186,541,10404,1417,1853,1675,1859,2184,6105,6616,687,443
"ZT3D7_G5249",187,767,1167,766,671,564,212,190,1184,1258,1064,596
"ZT3D7_G5250",922,921,959,1385,1315,1140,896,687,1146,1047,1700,756
"ZT3D7_G5251",749,340,515,466,575,506,842,679,592,550,639,343
"ZT3D7_G5252",244,146,232,111,138,113,254,201,265,243,265,136
"ZT3D7_G5253",456,795,409,415,475,431,324,480,384,339,991,617
"ZT3D7_G5254",797,1279,1182,1571,1668,1192,804,990,1361,1059,2031,1189
"ZT3D7_G5255",230,274,378,303,283,223,179,280,331,271,323,162
"ZT3D7_G5256",317,582,714,655,616,690,376,414,645,547,961,454
