"","3D7_vitro_MM_rep3","3D1_vitro_YSB_rep3","3D1_vitro_MM_rep2","3D7_vitro_YSB_rep1","3D7_vitro_YSB_rep3","3D7_vitro_YSB_rep2","3D7_vitro_MM_rep1","3D7_vitro_MM_rep2","3D1_vitro_MM_rep1","3D1_vitro_MM_rep3","3D1_vitro_YSB_rep1","3D1_vitro_YSB_rep2"
"ZT3D7_G4177",98,39,481,18,25,34,88,80,753,439,66,26
"ZT3D7_G4178",19,9,87,8,13,12,10,14,87,71,8,7
"ZT3D7_G4179",50,42,135,25,31,39,50,46,134,118,51,34
"ZT3D7_G4180",13,6,18,5,9,8,5,6,19,20,10,6
"ZT3D7_G4181",18,11,24,21,15,15,16,18,41,37,28,13
"ZT3D7_G4182",7,7,15,8,3,4,2,3,7,6,3,7
"ZT3D7_G4183",110,144,162,162,193,156,110,90,167,137,258,117
"ZT3D7_G4184",460,588,120,631,641,589,544,451,125,79,1064,499
"ZT3D7_G4185",2287,37,121,46,61,41,1897,2293,172,131,65,39
"ZT3D7_G4186",73,47,120,52,71,67,87,97,143,115,80,55
"ZT3D7_G4187",1523,1143,1339,694,840,768,1373,1858,1603,1181,1726,993
"ZT3D7_G4188",2480,28,4665,123,96,64,1805,1611,4178,3325,38,23
"ZT3D7_G4189",398,37,534,50,66,47,327,174,687,429,60,40
"ZT3D7_G4190",92,492,238,11,19,12,88,79,279,257,688,436
"ZT3D7_G4191",409,69,107,300,400,370,462,410,119,98,70,43
"ZT3D7_G4192",426,265,451,330,421,357,404,549,504,409,397,235
"ZT3D7_G4193",1549,3848,4142,2474,2974,2523,1534,1679,5052,3901,5938,3716
"ZT3D7_G4194",275,285,345,1115,1159,910,344,270,335,280,436,217
"ZT3D7_G4195",32238,1738,3570,1965,1795,1620,28246,35057,3781,2976,2038,1357
"ZT3D7_G4196",449,31,124,35,37,17,330,371,147,112,66,31
"ZT3D7_G4197",213,178,538,468,405,374,228,215,619,460,302,158
"ZT3D7_G4198",453,285,475,514,501,513,745,548,512,424,570,270
