genes logFC logCPM PValue FDR
ZT3D7_G4343 6.48686674221675 5.80126506622628 0.000103925931774004 0.00725191629006059
ZT3D7_G5548 -2.09900289925607 6.97086830916165 0.000105146135502613 0.00727540571200431
ZT3D7_G8871 3.9652087112787 6.29356540328694 0.000116238641623954 0.00797590812609696
ZT3D7_G3995 -4.11306942877873 5.38527394268418 0.000120851179484844 0.00822387282543971
ZT3D7_G10378 -2.00335945912913 6.99947280291205 0.000123947758712403 0.00836545774785184
ZT3D7_G8560 1.83396320316921 8.01833882003025 0.000130337087160271 0.0087251672819323
ZT3D7_G531 -1.39247613859297 12.8764325185422 0.00014033684276735 0.00931881905924483
ZT3D7_G4704 1.80164289395108 7.95217884712403 0.000154051610522076 0.0101476876883102
ZT3D7_G3687 7.22242949834977 6.37437602181254 0.000155641494866849 0.0101710481645526
ZT3D7_G7861 -1.89602776899471 8.49827586379102 0.000164508196087927 0.010665830603055
ZT3D7_G2409 1.23245116815199 10.124798115372 0.000166727601875596 0.0107252740144036
ZT3D7_G9291 2.03198571926427 8.78260891594938 0.000177764393686414 0.0113466047877049
ZT3D7_G3602 6.36434844360891 5.71346667609236 0.000181430282175537 0.0114915149494875
ZT3D7_G6330 1.82187062416197 7.70943870496097 0.000186181440387609 0.0117024273294013
ZT3D7_G7069 2.1692283542652 7.68787537054631 0.000195305698330215 0.012182932727659
ZT3D7_G3474 1.18785308779978 11.5045861799576 0.000198034636312937 0.0122602796646671
ZT3D7_G2147 -3.34976066242359 5.13008272858316 0.000218782197974914 0.0133504633508434
ZT3D7_G3821 6.52660223028697 5.83852192338975 0.000218886634972536 0.0133504633508434
ZT3D7_G7055 1.52768439056998 8.45538715574266 0.000227871654704003 0.0137962882708291
ZT3D7_G10336 6.39701298914625 5.73649077552866 0.000248493703963987 0.0149350157550326
ZT3D7_G7601 3.66178657717651 6.07761581003916 0.000254075392208776 0.0151582819998935
ZT3D7_G4559 -1.86920801204646 6.79247834776883 0.000255890356811416 0.0151582819998935
ZT3D7_G6346 2.830287574768 6.59476813738965 0.000258375322433614 0.0151961600351313
ZT3D7_G595 1.61055013705423 8.29574456898325 0.000264927986482818 0.0154710428418406
ZT3D7_G4725 6.37288317339705 5.71882317061756 0.00026980002507849 0.0156446014541992
ZT3D7_G9562 3.15917653835143 6.39904148303842 0.000273827685693932 0.0157048000120471
ZT3D7_G11317 -2.24659814703497 5.87502277910263 0.00027465280565154 0.0157048000120471
ZT3D7_G361 -1.57610379726357 10.622351433445 0.000278638155590282 0.0158228039526233
ZT3D7_G1718 2.60495597131376 7.00716827234905 0.000294436737062264 0.0166054252943197
ZT3D7_G3311 3.92835884376162 6.2506622541087 0.000306971669281384 0.0171945899650538
ZT3D7_G3652 -1.85221283948759 7.47842359254205 0.000310135678195463 0.0172544403666314
ZT3D7_G1578 -1.69738051006245 9.38021769205689 0.000316874460691032 0.017511035633087
ZT3D7_G9703 2.81656799245519 6.92115897863807 0.000319215780751514 0.0175228182580531
ZT3D7_G11400 2.59676679472005 6.76374727903329 0.000333447012983911 0.0181827993702617
ZT3D7_G7236 6.41190052807868 5.74661224395632 0.000336813473358713 0.0182455403923398
ZT3D7_G2250 6.79174730127669 6.03538205234783 0.000341580801165847 0.0182639823590822
ZT3D7_G862 1.73570108272881 7.89806777981195 0.000341590148566756 0.0182639823590822
ZT3D7_G296 2.96843644470441 7.07991088260116 0.000347741649499626 0.0184323383084255
ZT3D7_G7142 6.37506622370778 5.72691390634687 0.000349216028189746 0.0184323383084255
ZT3D7_G3594 1.73661010391272 10.376082760711 0.000365245547959131 0.0191556168273598
ZT3D7_G2246 6.250244442558 5.63006195097446 0.000375155039912264 0.0195508012571999
ZT3D7_G9533 1.68301295256634 7.69349743212598 0.000383223748092242 0.0198456876842234
ZT3D7_G6691 6.3944471204928 5.73332951091728 0.000405278075690645 0.0208566229702298
ZT3D7_G5245 6.28402801729341 5.64890737180598 0.00041080273022212 0.0210096253456456
