genes logFC logCPM PValue
ZT3D7_G71 -3.32514460363699 8.39903451411716 1.17956665102328e-11
ZT3D7_G74 0.75880951828684 5.87925899936413 0.143057730281123
ZT3D7_G76 -1.59691345206399 5.50249794066451 0.0058495174087474
ZT3D7_G79 0.0970583290891859 3.03137129838725 1
ZT3D7_G81 0.26762174907733 3.71387245338225 0.833071568418739
ZT3D7_G82 -0.543187694096933 2.79831995279131 0.767164721040238
ZT3D7_G83 1.81562613837247 10.0507295038616 0.00124181532415078
ZT3D7_G85 1.72495080658299 3.48383108569121 0.0704431678909198
ZT3D7_G89 0.335109586382846 4.59150174078485 0.612295458685675
ZT3D7_G92 1.84761140371665 3.59560127184658 0.102272369462802
ZT3D7_G93 0.819272721470158 3.19368539625129 0.344911953496621
ZT3D7_G94 -0.44315553603429 2.95240874759024 0.691516544290998
ZT3D7_G95 0.545303818042636 2.97755586539547 0.476004020332625
ZT3D7_G96 -1.22403224532136 5.93502154032466 0.00690195797094965
ZT3D7_G102 2.83554472342874 3.52485239626138 0.00986285607515829
ZT3D7_G103 1.05430236564758 5.91630599091003 0.0254434547800461
ZT3D7_G104 -0.0150208069919739 3.49830600067818 1
ZT3D7_G105 3.07593988618164 3.737740279053 0.0086784966975305
ZT3D7_G106 0.754786721857 4.68606052985359 0.216771693440751
ZT3D7_G107 2.71163777481376 4.75174405629135 0.000129726466694619
ZT3D7_G108 -1.85474184305769 2.12442782308446 0.0440566456641347
ZT3D7_G109 -0.516063223474466 3.5549596472781 0.430051188969287
ZT3D7_G110 0.362108764322999 5.68240443687798 0.490717866909007
ZT3D7_G111 1.18406206864574 9.95134505459204 0.0153245704879369
ZT3D7_G112 1.35716364648459 9.12768759619687 0.00255392753934917
ZT3D7_G113 -5.03411465759832 6.43387955473869 4.23401259143101e-26
ZT3D7_G114 -0.0527004234229578 4.44888422617592 0.896971087431306
ZT3D7_G115 -0.97373167651655 6.4240334373853 0.020654160129027
ZT3D7_G118 9.09447944366291 3.59074317094112 8.03999790758594e-05
ZT3D7_G119 0.0290936127468172 3.60802563994249 0.949170991377104
ZT3D7_G120 1.20019602400519 7.83925719706592 0.0147050048586849
ZT3D7_G121 0.760338055143276 6.42149163065094 0.0772824697880878
ZT3D7_G123 -0.568906089914122 3.71049733463469 0.604354953024943
ZT3D7_G124 -0.377199240622762 2.89143488189217 0.925034329819833
ZT3D7_G125 1.24687961374473 8.41486913831 0.00571039310712756
ZT3D7_G128 0.504466018455792 5.49617762700433 0.362846456249158
ZT3D7_G129 0.0539900313023539 4.4973437257422 0.786810771222575
ZT3D7_G130 0.0559493200109901 3.49888402369998 0.838541779907331
ZT3D7_G132 -3.2045601986626 7.80935259680544 0.000181611599710981
ZT3D7_G133 -2.01227945403161 5.03734802641347 0.00144604736487759
ZT3D7_G136 -0.631158446850822 5.7295246387215 0.182777458127024
ZT3D7_G137 1.13253623288836 5.20372822397059 0.0520084413578975
ZT3D7_G138 0.788578539069991 6.3646123590554 0.158491113808465
ZT3D7_G143 0.050607669986943 5.36471708498011 0.955427425748737
ZT3D7_G144 0.742526983681968 4.00452518958463 0.262126029975937
ZT3D7_G145 -0.988310582799307 4.46065458261365 0.124450312629241
ZT3D7_G146 -1.7855042083569 8.14976179187175 0.0021998051854822
ZT3D7_G147 0.594783951181641 5.44197829234315 0.28851010699199
ZT3D7_G148 0.473144063562322 6.5991784143035 0.310124659772283
ZT3D7_G149 0.0406309428618604 6.78613569832776 0.953879302193495
ZT3D7_G150 -2.60817518261669 2.55445376122322 0.00527456204564025
ZT3D7_G151 0.165185752708482 4.73702508582217 0.858907048757795
ZT3D7_G152 0.753471673112211 7.56936121905822 0.125166521752648
ZT3D7_G153 -4.09102188469467 6.99443026009747 3.65423495560487e-10
ZT3D7_G154 -3.32649189760516 3.47472208581943 1.47892575852071e-05
ZT3D7_G156 0.22202404919963 3.17056549448019 1
ZT3D7_G157 0.65631967130789 6.63107449280393 0.179969362453496
ZT3D7_G160 -0.0177602876954224 3.3980217843724 0.899140025211582
ZT3D7_G161 -2.34178673642053 7.24283070106875 9.8672180154253e-05
ZT3D7_G162 -1.69002573190591 5.01294944964858 0.00234315770573958
ZT3D7_G164 -0.0205557434574058 5.96625610156026 0.970219579901832
ZT3D7_G165 -0.695002190263043 5.35258823430397 0.137649268712449
