genes logFC logCPM PValue FDR
ZT3D7_G6272 -9.80775966925664 4.15975268975529 2.42013288067633e-128 1.62921285839573e-126
ZT3D7_G5802 -4.00346828427003 5.39530692756588 7.18397239932733e-128 4.80213140946585e-126
ZT3D7_G11023 -6.08032192141416 4.39746591115035 1.1756703562466e-127 7.80382029475017e-126
ZT3D7_G6750 4.2260033075614 6.25246084296358 1.32266708036286e-127 8.71858050472516e-126
ZT3D7_G2855 3.96957800675465 6.72834273983624 9.4153705021277e-127 6.1634963314618e-125
ZT3D7_G960 -4.04510452525002 5.26257220816372 1.29110311782652e-126 8.39393890028034e-125
ZT3D7_G11678 4.42604949192702 4.62896007959927 2.20702532947842e-125 1.4251077841775e-123
ZT3D7_G10166 4.0952909916623 6.92741866704631 1.09912546715359e-124 7.04925603663643e-123
ZT3D7_G10127 3.82104261730923 5.06791282740881 1.26700091565828e-124 8.07139106807276e-123
ZT3D7_G11237 3.89006506518602 8.40267070398972 1.34085656085309e-124 8.48494031707832e-123
ZT3D7_G2076 4.64240812390573 5.76632820127236 8.51170908561573e-124 5.35053924772613e-122
ZT3D7_G6273 -7.23443221751841 4.07645679653499 1.27906095215221e-123 7.98739905120317e-122
ZT3D7_G245 4.39423374781848 8.32647771360953 1.41947617199148e-123 8.80631883957066e-122
ZT3D7_G11487 4.73487150235114 7.59777423303715 1.57239199361465e-123 9.69165246973396e-122
ZT3D7_G3323 -8.78485416529565 3.96417713680195 3.21607825271856e-123 1.96948482418094e-121
ZT3D7_G5949 3.99631163663572 6.75964841631344 4.1755351663513e-123 2.54065255121837e-121
ZT3D7_G1085 4.91859501185527 6.4922342854312 1.59936884623397e-122 9.66955992895085e-121
ZT3D7_G10017 -9.51883261570541 3.88163256082195 1.65396279526945e-121 9.93633851436556e-120
ZT3D7_G296 -3.90792370754823 5.20062239633069 3.94692180996239e-121 2.35623785032472e-119
ZT3D7_G2343 -7.38718161323714 4.01894084675273 5.01570580274594e-121 2.97556746747903e-119
ZT3D7_G6716 3.57485022088922 8.01546977339036 5.05447594372998e-121 2.97994320856428e-119
ZT3D7_G8193 -6.84595445163521 4.31257604174558 1.31827813430475e-120 7.72413336470415e-119
ZT3D7_G3631 -3.73100924256652 10.0991808851983 1.35077579026321e-120 7.86599006207261e-119
ZT3D7_G9381 -11.4994630638525 3.78845696233826 1.54853851294961e-120 8.96263875909618e-119
ZT3D7_G4195 3.70960687144489 10.5512692573381 3.01140459108355e-119 1.73237893203424e-117
ZT3D7_G10397 4.61824961272728 6.15874001469404 7.91832665980094e-119 4.52775642498979e-117
ZT3D7_G5564 -11.4658800905317 3.75619204840778 9.95913409107054e-119 5.66060483787075e-117
ZT3D7_G9971 -8.24154345238192 3.94138005744038 1.35345921339631e-118 7.64704455568917e-117
ZT3D7_G4533 -12.0480523322527 4.31892825479452 2.44696028619494e-118 1.37435189565458e-116
ZT3D7_G7241 -8.8307214585747 4.00716539853891 4.8429183697103e-118 2.70405771560531e-116
ZT3D7_G6248 3.94780787975477 7.09133764364267 1.21791842368675e-115 6.76051560095595e-114
ZT3D7_G3480 3.88318700719475 6.89662507715122 1.38566991402574e-115 7.64696443251877e-114
ZT3D7_G5166 4.25405490067275 6.90516619132859 1.02705972034053e-114 5.63517391067761e-113
ZT3D7_G298 3.53514887754021 5.07104517772247 2.68132994228523e-114 1.46271171334318e-112
ZT3D7_G4931 3.72605500702883 8.28955424755622 3.23816979824816e-114 1.7563832985698e-112
ZT3D7_G3321 -4.2458128285173 4.9469701764137 4.71464591917738e-114 2.54269426504726e-112
ZT3D7_G3361 -4.20221933474651 5.57293236828625 1.00738743392525e-113 5.40232854396524e-112
ZT3D7_G8461 4.39935440055498 6.18934424064792 1.41151190267019e-113 7.52700616862105e-112
ZT3D7_G276 4.03663894909681 9.08971856533107 2.34218140630218e-113 1.24201038595644e-111
ZT3D7_G5682 4.21230625838555 4.67704993488705 3.5528281889267e-113 1.87352473162735e-111
ZT3D7_G5400 5.47086338074532 7.45721463159447 5.08071728685354e-113 2.66442919816651e-111
ZT3D7_G2599 -3.68027304788224 6.429230244956 6.14536444418439e-113 3.20504391781309e-111
ZT3D7_G11149 -4.42920157187818 4.5753284772875 7.51827812251675e-113 3.89964458682672e-111
ZT3D7_G9886 4.47917320208112 7.019219903879 1.1020395389893e-112 5.68508657830786e-111
ZT3D7_G739 -3.55669059555592 5.47827212803984 1.64105683111452e-112 8.41995213023731e-111
ZT3D7_G11143 4.55131038454643 5.21301774226115 1.00388695910853e-111 5.12306183648288e-110
ZT3D7_G1346 4.70506690162982 5.03799678972777 1.70382363155193e-111 8.6484994174818e-110
ZT3D7_G9734 -5.37345581273387 4.28363557232409 1.83597913046575e-111 9.26974143956431e-110
ZT3D7_G10586 3.6817032328855 5.62916045273449 2.16062021799639e-111 1.08511148726041e-109
ZT3D7_G8896 3.42902015840306 7.92138652012111 1.1014255622964e-110 5.50249023016708e-109
ZT3D7_G6937 -4.48982181552703 8.92345900839013 1.24583702524206e-110 6.19135342596734e-109
ZT3D7_G11593 6.16601995804661 4.29224258732295 3.03521865271587e-110 1.50053622143641e-108
ZT3D7_G1303 3.34067246532816 8.11739624914968 6.70380323465853e-110 3.29702074110771e-108
ZT3D7_G10156 3.64586256273348 6.0586019688651 1.36154081544708e-109 6.66172444341425e-108
ZT3D7_G3011 3.66604644535149 5.04214898151242 1.84980838889116e-109 9.00429806531021e-108
ZT3D7_G7547 3.71310284885573 5.42179332332064 5.55465087670345e-109 2.6900380674321e-107
ZT3D7_G763 -7.29322516726478 3.9286037224239 6.85016602616222e-109 3.30059776245339e-107
ZT3D7_G5560 -4.63248730645426 5.14952389874215 1.38433258282845e-108 6.63640650313517e-107
ZT3D7_G7430 3.58226485132277 7.00915980902742 3.09456913292381e-108 1.47606282460869e-106
ZT3D7_G9746 3.14593023147514 6.29704960807214 1.00921559249468e-107 4.78973720197977e-106
ZT3D7_G2781 3.93562278745481 9.10477018560073 1.61425137721209e-107 7.62312142910305e-106
ZT3D7_G10897 -5.9327794394357 4.11089052076552 2.11005709085631e-107 9.91517916158818e-106
ZT3D7_G2634 -7.19519547296106 3.8346825509579 2.49932573776443e-107 1.16865024152019e-105
ZT3D7_G3981 3.76904857317845 8.39684218003467 2.95356587866271e-107 1.37427682942483e-105
ZT3D7_G3616 7.27925440847217 7.68228885093807 3.17287357577342e-107 1.46911785274348e-105
ZT3D7_G8799 -4.17253843962876 4.59166493088557 1.86534649207086e-106 8.59508199161973e-105
ZT3D7_G11233 5.26521276558222 4.30543859568389 2.03188531586599e-105 9.31722483971015e-104
ZT3D7_G10018 -3.2625022910749 9.81647542373414 4.12300124659832e-105 1.88151576118804e-103
ZT3D7_G6088 -3.2409917492223 9.4204276012335 8.61140745829213e-105 3.91097988488559e-103
ZT3D7_G8546 3.16910868930831 6.02105116915768 3.07811676206751e-104 1.39130877645451e-102
ZT3D7_G514 3.29401392705365 6.16282670443055 5.53755062899187e-104 2.49111045357302e-102
ZT3D7_G5355 -7.94029661586657 4.01958621759519 1.24778817591546e-103 5.586794983863e-102
ZT3D7_G6675 3.28928035162729 9.82287867388749 2.2334281315658e-103 9.95291071587914e-102
ZT3D7_G2056 3.39020828800089 5.85245236154588 3.13846433217969e-103 1.39207025425465e-101
ZT3D7_G2783 3.2236768319219 5.62526565615758 4.16824476025348e-103 1.84023159368958e-101
ZT3D7_G11128 3.26149817259788 6.27061696175875 4.78188667738587e-103 2.10137353434012e-101
