genes logFC logCPM PValue
ZT3D7_G149 -0.338038840099957 6.33788313856897 0.00515604516302345
ZT3D7_G150 -0.0997744833247128 3.07810938073678 0.610297931870004
ZT3D7_G151 0.128469902447653 5.76975513663177 0.236863941794894
ZT3D7_G152 -0.273703268238988 6.46057865070649 0.0133464746118022
ZT3D7_G155 -0.318119409481376 2.8238898612635 0.0629781533966652
ZT3D7_G156 1.48938860162756 3.3112425368019 6.74201872072174e-16
ZT3D7_G157 0.417380801587284 8.49854979726796 0.000321644894620747
ZT3D7_G160 -0.0602849743027404 3.75975431063507 0.758329127060849
ZT3D7_G162 -0.741384570249973 3.17505766920695 5.90489670366593e-05
ZT3D7_G164 1.29609272405002 6.46189467632654 1.41003514010071e-29
ZT3D7_G165 0.543777265064889 5.25625766602535 1.89323649913665e-05
ZT3D7_G166 0.168670459813707 5.67563681596272 0.160586208978217
ZT3D7_G167 0.0950373575602743 5.46616330410308 0.401622381002374
ZT3D7_G169 2.19008492304538 5.55506307343786 8.01132221262976e-46
ZT3D7_G170 0.56950147485184 3.94104570250158 1.68816331057802e-05
ZT3D7_G171 -0.309401112662071 5.07063956983959 0.00732114819332374
ZT3D7_G172 -0.108714926539101 8.12823064764666 0.279349852881445
ZT3D7_G173 -0.807085074773433 7.87636378251377 3.81129455013299e-11
ZT3D7_G174 -0.343620893118955 6.49213243402148 0.00126194680237024
ZT3D7_G176 1.53109953228506 4.88804866960169 1.09357196691578e-38
ZT3D7_G177 -0.84012702148124 8.27828321616034 4.26162085784871e-13
ZT3D7_G178 -0.143497598743816 4.52953760620632 0.207672966080552
ZT3D7_G179 -0.0821241188451045 5.15521503156895 0.594056116819536
ZT3D7_G181 2.3883567614446 2.52098890054814 2.73951247415325e-23
ZT3D7_G182 2.52733461819515 3.23904109117675 1.15234347672592e-35
ZT3D7_G184 0.313868939858571 5.762382446294 0.00650726262600119
ZT3D7_G185 0.268896902283775 7.23593564226572 0.00924336989200287
ZT3D7_G186 -0.524186435885905 2.80497420849389 0.00396613299998822
ZT3D7_G187 -1.81109487835883 5.93763724169486 1.19336562342473e-62
ZT3D7_G188 -1.22063760063029 2.8960380424444 1.3862202407035e-11
ZT3D7_G189 0.532824499414997 4.3208927597939 1.35397923479079e-05
ZT3D7_G191 0.808791466274615 5.43134294380079 4.79856879443153e-13
ZT3D7_G192 0.096647383864989 3.44420711548509 0.622378915260943
ZT3D7_G193 -0.216715674644052 7.25022087854376 0.042939714399653
ZT3D7_G194 0.159128245108089 5.26062539140535 0.199202862296034
ZT3D7_G195 -0.459088462261685 3.26176689797221 0.00701082187072594
ZT3D7_G199 -0.537270825946002 3.80661302975327 6.04810961369717e-05
ZT3D7_G201 0.444397270983456 5.64969855684868 0.00050590580137301
ZT3D7_G202 0.282632914015984 4.16379441597746 0.0298091339441802
ZT3D7_G203 0.185183173351645 4.71714510737553 0.117109664964993
ZT3D7_G204 -0.326375353041162 6.22565068252108 0.0192687655692725
ZT3D7_G205 -0.466868645526516 5.22913076698869 7.73906384476072e-05
ZT3D7_G207 0.302948332318256 3.09321738613599 0.0532620540664582
ZT3D7_G208 -0.51330290475302 6.4494993811257 1.81738859023922e-06
ZT3D7_G209 0.227785370435461 6.42882073166376 0.0284853464988284
ZT3D7_G210 -1.43179216615916 6.60282321450657 2.13044803145615e-14
ZT3D7_G211 1.13097223446808 9.48592188216177 7.78738372836547e-27
ZT3D7_G212 0.552584927191226 3.69067072855136 3.19761870783344e-05
ZT3D7_G214 -0.734981456638418 3.03615960832636 8.92074351455659e-05
ZT3D7_G215 -0.0952388659120695 4.45942343380149 0.422491553175269
ZT3D7_G219 -0.00114395385747606 3.4091334812653 1
ZT3D7_G220 0.38167913457409 5.02929149546826 0.000608674370863945
ZT3D7_G222 0.113273193578382 4.87314503996379 0.303878863415352
ZT3D7_G223 -0.344593782434993 4.89227826341652 0.0121537744180523
ZT3D7_G224 0.26262849566017 6.14467188979892 0.00950720016273298
ZT3D7_G227 0.953822930811309 5.68801403850679 7.40662110698516e-16
ZT3D7_G228 0.037722765015463 6.17435413683759 0.740126484462476
ZT3D7_G230 -0.677191355888153 3.2651455172186 0.000350340391082656
ZT3D7_G233 0.31106032642534 3.48199979193189 0.0562008353765244
ZT3D7_G234 -0.610346201584121 4.72205854342378 4.43646980527588e-07
ZT3D7_G235 0.478129184453676 3.98571807953302 0.00177617402416681
ZT3D7_G236 0.680021063350624 7.80510918485315 2.34196502699761e-10
ZT3D7_G237 0.343885508237705 5.51209230049376 0.00244070445966124
ZT3D7_G238 -0.143195148621197 7.45243855316948 0.231653802286136
ZT3D7_G243 -1.14427330617954 6.20919936566472 2.06598194987493e-18
ZT3D7_G244 -0.00335707239703998 7.00916241576517 0.981710512840812
ZT3D7_G246 0.849436523556867 4.05868451894978 2.40251954860318e-09
ZT3D7_G248 -0.0248668439731527 7.18293818044595 0.810992798515326
ZT3D7_G249 0.62120468585161 4.99288099683604 1.1780368448079e-06
ZT3D7_G251 -0.471852685070939 3.2640574118949 0.0029506093197825
ZT3D7_G252 -0.0933495077648399 8.72825341816898 0.375121876123458
ZT3D7_G253 0.749857699577517 4.21695423214544 3.99700878728621e-06
ZT3D7_G254 0.722827147566461 4.01365005239145 3.82715010814566e-08
ZT3D7_G256 -0.0946713569723911 7.12475751586919 0.454542395948452
ZT3D7_G257 -0.189944317948953 7.6840119536267 0.0809294400432175
ZT3D7_G259 -3.0572272411467 3.2701551857212 7.98943189645749e-56
ZT3D7_G260 0.225811495865006 6.75261420700929 0.0496250130159297
