genes logFC logCPM PValue FDR
ZT3D7_G2775 -4.55098470738004 5.96121410030537 9.06001680951575e-132 8.69445566615505e-130
ZT3D7_G4392 -9.2468966998341 3.12533695485397 1.87717857380265e-130 1.78073043328659e-128
ZT3D7_G4494 2.63601385657138 6.50412488264855 2.0099479383412e-130 1.88501140171931e-128
ZT3D7_G4137 3.53152522896832 5.64712678447393 2.87376605966279e-130 2.66485295397719e-128
ZT3D7_G10256 -10.9386945010037 3.00458939595528 4.50446845105022e-130 4.13059756961305e-128
ZT3D7_G5174 -3.98626585140297 6.49894299134547 4.3869065916705e-129 3.97858682429194e-127
ZT3D7_G5586 -3.24348591755952 8.22358924329662 9.01455052773928e-128 8.08663972885134e-126
ZT3D7_G7861 -4.04122694411091 9.18391288016973 2.60586532301777e-127 2.312495323749e-125
ZT3D7_G2402 -11.2077270098965 3.27427296588082 9.10045361685143e-127 7.99000464892286e-125
ZT3D7_G9115 -3.17270957814774 4.80117512253641 7.52024661047813e-126 6.53311529223958e-124
ZT3D7_G10125 2.56415738975124 6.4997566169925 1.65752315035304e-125 1.42495193331913e-123
ZT3D7_G6560 2.79157457235385 12.873289188414 1.56483730228906e-124 1.3314022944115e-122
ZT3D7_G11006 -7.74799595641488 2.90974914218137 8.51114114220457e-124 7.16759671904227e-122
ZT3D7_G2900 3.28388398769567 5.14578454894553 8.13353607739926e-123 6.78041143906829e-121
ZT3D7_G8390 4.14484836831382 6.18893188894739 4.2797105865238e-121 3.53204514705809e-119
ZT3D7_G1150 -11.3295966475757 3.39838597841869 2.38803700907685e-120 1.95133360751596e-118
ZT3D7_G5507 -11.1372426126889 3.19478740650396 3.30004304592177e-120 2.67012306450906e-118
ZT3D7_G10157 -2.64384564190552 5.9389944365174 8.8015825337275e-120 7.05237482047117e-118
ZT3D7_G2130 -3.62923695730947 4.62585738840659 1.06131588737331e-119 8.42215386393453e-118
ZT3D7_G8997 5.32727348351409 3.63327776592087 1.33580172013329e-119 1.04994015202477e-117
ZT3D7_G6152 -3.05289424487431 5.96362524048275 4.54011858376509e-119 3.53486779922767e-117
ZT3D7_G4608 -3.58831021512962 5.99743326525367 1.48828336176183e-118 1.14792547519817e-116
ZT3D7_G3532 -3.35194012148221 4.85493511139046 2.38000249957784e-118 1.81871857676073e-116
ZT3D7_G9205 -4.61994600961893 5.56392661085551 3.06860194089861e-118 2.32341025855378e-116
ZT3D7_G11628 -4.51633636166141 3.81449392500784 4.12201628885783e-118 3.09263640290397e-116
ZT3D7_G4536 -7.31318568996934 2.8497023005034 1.81969681443301e-117 1.35296917202844e-115
